jarm	sígremjan,skríggj
jarma	sígremja seg,skríggja
jarman	sígremjan,skríggj
jarmari	sífuglur
jarming	sískríggj
jarn	síavtakafólk,fjøtur,húkur,krøkjari,slitmaður
jarnband	sífjøtur,keta
jarnbera	síbeinka
jarnbetong	sísement
jarnboltur	sínagli
jarnbreytarferja	sísjófar
jarnbreytargarður	sífarstøð
jarnbreytarstøð	sífarstøð
jarnbrúdleyp	síveitsluhald
jarnburður	sípróvroynd
jarngjørð	síringur
jarnharður	síharður
jarnhælur	síhælur
jarnídnaður	síframleiðsla
jarnkaldur	síkaldur
jarnketa	síketa
jarnkíli	síkíli
jarnklæddur	sígyltur
jarnkongur	sínagli
jarnkós	síringur
jarnkuldi	síkuldi
jarnlagdur	sígyltur
jarnleistur	síformur
jarnnagli	sínagli
jarnnám	sínám
jarnnokki	sísjófar
jarnpík	síoddur
jarnpíkur	síoddur
jarnseymur	sínagli
jarnskip	sísjófar
jarnsmiðja	síverkstaður
jarnsmíð	síbygging
jarnspønir	síspónur
jarntak	sítekja
jarntekja	sítekja
jarntunna	síkassi
jarnverk	sírimaverk
jarnvirki	síverkstaður
jarnvøra	sívøra
jarpur	sílitaður
jartekin	síspádómur,undurverk
jasa	síloyva
jasagdur	síjáttandi
jaspis	sígrót
jassur	síótangi
jasøgin	síjáttandi
javna	síbeinka,býta,drekka brennivín,flata niður,krydda
javnaðarstjórn	sívald
javnaður	síjavnvág
javnaglíma	síjavnvág
javnaldra	síjavnaldur
javnaldraður	síjavnaldur
javnaldri	síjavnaldur
javnaldur	Samheiti:javnaldra,javnaldri(javnaldraður)javngamal□hann er javngamal við hin, nakað til aldurs sum hin;teir eru á einum aldri, á sama aldri;teir eru javngamlir;teir eru um ein aldur, um sama aldur;teir ganga á sama ári↔aldrandi,ungur,líkur
javnaldurin	síkallskøp
javnan	síalsamt,líðandi,ofta,reglubundin
javnari	sírúsdrekka
javnast	sísøkka
javnbakaður	sísteikja
javnbeintur	síbeintur
javnbrattur	síhallur
javnbreiður	síførligur,rúmligur
javnbýti	síbýti,javnvág
javnbýttur	sísundurbýttur
javndimmur	sílitaður
javndjúpur	sídjúpur
javndøgursstormur	sívindur
javnfall	síjavnvág
javnflokkur	sískúlaflokkur
javnflyta	síførka
javnflyting	síflutningur,flyting
javngamal	síjavnaldur
javngildi	síjavnvág
javngildur	sílíkur
javnglíma	síjavnvág
javngóður	sílíkur
javngráur	sílitaður
javnheitur	síheitur
javnhvítur	sílitaður
javnhyrntur	síhyrntur
javnhøgur	síhøgur,líkur
javni	síjavnvág,líki
javningi	sílíki
javningur	sílíki,matarbót
javnir	síjavnviga
javnlangur	sílíkur
javnleikur	síjavnvág
javnliga	síalsamt
javnligur	sílíkur
javnlíka	síá sama hátt
javnlíki	sílíki
javnlíkt	síá sama hátt
javnlíkur	sílíkur
javnlyndi	síafturhald
javnlyndur	síhóvsamur
javnmeta	símeina
javnmikil	sílíkur
javnmæltur	símæltur
javnnógvur	sílíkur,nógvur
javnringur	síbíligur,dygdarleysur,torførur
javnríkur	sílíkur
javnræði	síhjúnalag
javnrættindi	síjavnvág,rættindi
javnrættur	síjavnvág,rættindi
javnrøddur	síbeinur
javnseta	símeina
javnsinni	síafturhald
javnsintur	síhóvsamur
javnsíðis	Samheiti:samsíðis,borð um borð,lið um lið,síðu um síðuhvør frammi hjá øðrum;tak um tak;við síðuna á hvørjum øðrum;við síðuna hvør av øðrum↔andstaddur,áraka,hinumegin,yvirum
javnskapaður	síeinsljóðandi
javnskavaður	síjavnstrokin
javnskipaður	sílíkur
javnslættur	síflatur
javnsmáur	sísmáur
javnsnøggur	sísnøggur
javnstórur	síhøgur,líkur
javnstrokin	Samheiti:bekkfastur,bjølgfullur,borðfullur,floytifullur,fullur,fyltur,høgrokaður,innantramaður,javnskavaður,javntramaður,kjaftfullur,kjaftrokaður,kjokkaður,kjokkfullur,lokaður,lokafullur,mannfyltur,mettaður,ovfermdur,ovfullur,ovfyltur,ovlaðin,ovrokaður,pinnapakkaður,pinnpakkaður,rokaður,rokafullur,rokaleysur,rokasettur,skítfullur,skorðafullur,sprænfullur,stappaður,stappfullur,steinstappaður,steinstungin,stúvaður,stúvstappaður,troðfullur,trokafullur,trokfullurá kjaft, kjokk, tremur;dýrandi, stappandi, stúgvandi, stúvandi, stúvstappandi fullur;fullur av...;fullur í hálsin;fullur undir lokið, lúkurnar, stokkarnar;innihaldsmikil t.e. evnismikil t.e. við nógvum innihaldi;í døbba, proppin, tøppin;mígandi, morandi, murrandi, trokandi fullur;um tremur;við roka;□(áin stendur) á borð og bredda(r);hann stendur at bresta;(hon er) full undir lúkurnar(hálvfullur)næstan fullur,næstan tómurfullur til helvtar;um akslar(nar), akslir, barmin;út um botnin;□har er lítið, nógv í(fyllast)borðfyllast↔fylla,helmingur,laðin,mettur,ófullfíggjaðurAndheiti:innanopin,tómur
javnstøða	síjavnvág,rættindi
javnstøðulóg	sílóg
javnsýna	sígjalda
javnsýning	síendurgjald
javnt	síreglubundin
javntjúkkur	síhovin
javntramaður	síjavnstrokin
javntungur	sítungur,líkur
javntøkur	sílíkur
javnur	síeinsljóðandi,flatur,líkur
javnvaksin	síbeinvaksin,líkur
javnvág	Samheiti:javnaður,javni,fíggjarjavni,gjaldjavni,gjaldsjavni,handilsjavni,javnvigan,javnvøga,rið(javnstøða)javnbýti,javngildi,javnrættindi,javnrættur,javnvirði(javnleikur)javnaglíma,javnfall,javnglíma,patt↔javnviga,viga
javnviga	Samheiti:hóreiggja,riða,ríða,vigaknarvast um;riða, ríða á;ríða um snarið;standa og viga;vera í javnvág;vera sum á bismarasnarinum;vera um at koppa;viga á;□báturin er komin fram á riðið, til riðis;báturin víggjar, víggjar sær;nú er javnvág;nú vigar, vigar beint, javnt;tað ríður á vektini;tað var á vágskálini;vektin javnvigar(vera óavgjørdur, óavgjørt)vera javnirbera til býtis;ganga upp fyri javnt;standa á jøvnum;standa á jøvnum føri, føri;standa býggj um býggj;□hann er næstan eins góður (og hin);hann gongur honum ein skarpan gang;hann gongur honum næstur;hvørgin stendur til at tapa, til tap;hvørgin vil fyri øðrum lúta;tað er hálvaspæl;tað er minni munurin á teimum báðum;tað er óavgjørdur leikur;tað er patt;tað raðar ikki um stavn;tað stendur í hálvakorti, í kortum, í spæli;tað stendur sum millum álkuna og lomvigan;tað var um reppið, reppin;teir eru javngóðir, javnir, javnligir;teir góvu upp fyri javnt;teir liggja (og saga) stavn um stavn;teir standa í javnglímu, standa javnaglímur↔fáa mótstøðu,javnvág,líki,líkur,viga
javnvigan	síjavnvág
javnvirði	síjavnvág
javnvøga	síjavnvág
jáa	síloyva
jánka	síivast,lorka burtur
jánkaliga	sílánkasliga
jánkaligur	síivasamur,støðuveikur
jánkasliga	sílánkasliga
jánkasligur	síbusutur,ivasamur,latur,seinpjakutur,støðuveikur
játa	sígrót
játta	síásanna,lova,loyva,eftirlíka
játtan	sígávaSamheiti:ájáttilsi,ájátting,góðkenning,heitstreinging,ja,jalyfti,játtilsi,játting,samtykkiámmin og júgv eftir;eg hugsi so við;gævi at so verður;játtandi svar;(tað er) gaman í;tað var leyst og liðugt;so er(undirtøka)frami,stuðul,viðhald,viðmæli,viðmælisbræv,viðmælisskriv,viðrák,viðurkenning(ásannan)ásanning,góðtøka,staðfesting,váttan,váttur,viðurkenning,yvirlýsing(ája)ájú,ja,je,jú,júgv,júsa,júsáá ja, á jú, jú men;jú vist↔ásanna,eftirlíka,gildi,halda orð,játtandi,lova,lyfti,prógvaAndheiti:mótmæli,noktan
játtandi	Samheiti:jaligur,jasagdur,jasøgin,positivur,samtykkjandi↔ásanna,eftirlíka,halda orð,játtan,lova,lyftiAndheiti:ófúsur
játtilsi	sígáva,játtan
játting	sígáva,játtan,lyfti
je	síjáttan
