umvav	Samheiti:bind,bindi,fingrabjølgur,fingraskeyti,fingurbjølgur,gyrðisbind,lastikbind,nalvabind,pappírsskeyti,roðbjølgur,skeyti,umslag,vav(sárlørift)línskav,sárskeki,tvørra,tvørri(verja)fingrahít,fingurhít,heftiplástur,gips,hít,knæverja,plástur,roðhít,skinnari(fatl)fatling,steinfatl,surring,umbinding,vevjing↔binda,umvavdur
umvavdur	Samheiti:avvavdur,fatlaður,innballaður,innpakkaður,innvavdur,reivaður,sveipaður,tilbundin,tilvavdur,umbundinvið bindi (um)↔binda,umvav
umvegis	síóbeinleiðis
umvegur	sísniðgøta
umveldi	sípláss
umvenda	Samheiti:endurføða,frelsa,kristna,rættvísgeragera kristnan;venda e-n um(umvendast)endurføðastgerast kristin, trúgvandi;skifta trúgv;taka við kristnari trúgv;taka við kristnigerð;umvenda seg;venda seg um;venda við(vitna)bera fram vitnisburð;játta trúgv sína↔andligur,átrúni,halgimenni,heilagleiki,kristning,prædika,trúarfelag,umvendur
umvendast	síumvenda
umvending	síbjarging,kristning
umvendingardópur	sídópur
umvendur	Samheiti:endurføddur,frelstur,rættferðugur,rættlátur,rættvísgjørdur,rættvísur,syndafríur,syndaleysur,syndleysurbjargaður, loystur frá synd og glatan;komin til trúgv;leysur við synd;uttan synd(trúgvandi)rætttrúgvandi,rætttrúgvin↔andligur,átrúni,halgimenni,heilagleiki,kristning,prædika,trúarfelag,umvenda
umverð	sígranni,líkindi(r)
umvirdur	sídáma,dygdargóður,dýrur
umvæla	Samheiti:betra,bjarva,bjóra,bøssa,bøta,fanta,fínka,hampa,kálfatra,kitta,líma,lúsa,naglreka,orðna,pjøgga,pjøssa,rætla,rætta,skósa,sóla,spartla,spjalla,spjarra,stifta,stoppa,tetta,tippa,triva,tætta,viðgerabinda ein skeyta um;bøta aftur, um, uppá;bøta hol;bøta, væla um fyribils;fanta til;ganga afturumaftur;gera betri;gera í ordan, stand (aftur);gera, seyma aftur;gera við;hampa um;hjálpa upp á;klinka saman aftur;leggja bót, vond á;leggja uppundir;penta fatalepar yvir hol;pjøgga um;pjøssa um, saman;pjøssa upp á e-t;rimpa saman;rætta upp á e-t;seta bót á;seta lús í;skjaldra uppfyri;spjalla aftur, saman;stifta saman;soyma av nýggjum, umaftur;taka eitt hol aftur;taka leka burtur, úr;tetta leka;triva um;væla um;vøla um↔afturbøting,bati,batnaður,endurskapa,gagn,gagna,góðska,grøða,hjálp,hjálpa,seyma,seyming,styrkja,viðgerðAndheiti:knúsa,skræða
umvæli	síansni
umvæling	síafturbøting
umvøling	síafturbøting
umyrking	sísangur
undan	síburturav,fyrr,niðureftir,sjónligur
undanbering	sískálkaskjól
undanbersla	sískálkaskjól
undanbrekka	síhalli
undanburður	símisvísningur,streymur
undanbært	sívindur
undandrag	síkjør
undandráttur	sístuldur,svik,veðurhvíld
undandøttur	sígrót,spádómur,tari
undanfarin	sífyrrverandi,liðin
undanfarni	sífyrrverandi
undanfírin	símótfallin
undanfírur	síræðuskítur
undanførin	símótfallin
undanførligur	símótfallin
undanførsla	sískálkaskjól
undangangsmaður	síoddamaður
undangingin	sítómur
undangjald	síavgjald
undangonga	sísigling,vindur
undangongubyrur	sívindur
undangongufólk	síoddamaður
undangonguland	sístatur
undangongumaður	síoddamaður
undangonguseyður	síseyður
undangonguvindur	sívindur
undangoymdur	síkrógvaður
undangruni	síillgruni
undanhald	sírýming
undankapping	síkapping
undankoma	síbjarging
undankomin	sísjónligur,tilkomin
undanlagstur	sírundur
undanleggiligur	símótfallin
undanleggin	sílítillátin,mótfallin
undanmaður	sífyrrverandi
undannevndur	síáðurnevndur
undanrenning	sírenning,rýming
undanrýming	sírýming
undanskurður	sískriv
undansleipin	síhallur,hálur
undansloppin	sínærkast endanum
undansnúður	sísnúður
undanstandandi	síáðurnevndur
undanstreymur	sístreymur
undanstøkkingur	sípinkulingur,seyður,vánamaður
undantak	síeindømi,frábrigdi
undantaksføri	síeindømi
undantaksloyvi	sírættindi
undantaksmaður	síavtakafólk
undantaksstandur	sívandi
undantaksstøða	sívandi
undantikin	sífrároknaður,sundurbýttur
undantøka	síeindømi
undanvindur	sívindur
undarliga	síógvuliga
undarligur	sífløktur,óvanligur
undir	síniðarlaga
undirborin	síavtakin
undirbólkur	síluteind
undirbrotligheit	síundirlutakensla
undirbrotligur	sílítillátin
undirbrotni	síundirlutakensla
undirbyrjaður	síavtakin
undirdeild	síluteind
undirdíktur	síavtakin
undirdjúp	síbládýpi,helviti
undirdongdur	síavtakin
undirdýpi	síbládýpi,helviti
undirfarin	síkrógvaður
undirflái	síbotnur
undirfløddur	síflóð,krógvaður
undirfólk	síhjálpari,sjómaður
undirføddur	sírakfallin
undirgangur	Samheiti:deyði,dómadagur,fortaping,glatan,ragnarøk,týning,undirgonga,undirgongd,ørdeyðievsta stund;evsti, seinasti dagur;heimsins, veraldar, verðsins endi;síðsta tíð↔deyði,doyggja,endi,helviti,Sátan
