vað	síbrúgv,fiskatorva
vanbøn	síillbøn
vanda	Samheiti:fordøma,forsmáa,havna,kolldøma,vrakabeina, siga, stoyta, vísa o.fl. frá sær;blaka, kasta (e-t) frá sær;ikki dáma, líka e-t;ikki skoyta um e-t;ikki taka til takkar við e-m;ikki vilja eiga, hava, nerta, síggja o.fl.;kasta, reka aftur;kasta aftur á e-n;kasta vank á e-t;leiva, lata liggja eftir, ikki eta upp;reka e-t aftur í nasarnar á e-m(kolldømdur)afturkastaður,afturrikin,havnaður,vrakaður↔herkja,kræsin,mótvilji,vrak
vandaarbeiði	síarbeiði
vandabólkur	síluteind
vandabøn	síillbøn
vandaður	sísnotiligur
vandaferð	sívandi
vandafullur	sítorførur
vandaførur	sítorførur
vandahond	síavtakafólk
vandaleið	síhav,stað
vandaleysur	sítryggur
vandaliga	Samheiti:alvandaliga,alvæl,av einslistum,eiriliga,eirisliga,gætiliga,hagliga,hegnisliga,heppiliga,heppisliga,hóvliga,hyggiliga,lagaliga,makliga,mjúkliga,ráðiliga,ráðuliga,trivaliga,tærisliga,varisliga,varliga,virðiliga,vælsera væl;skjótt og væl;við eirindum, mýkindum, varsemi;við hepnari, lættari, varligari hond;við hygni, skili;væl og virðiliga(kynstriliga)listuliga,snildiliga,snildisliga↔ansni,eftiransin,eftirsíggin,hóvsamur,húsligur,lirka,nærlagdur,róliga,røkiskapur,skynsamliga,trivamaður,vanda sær,vælvirkinAndheiti:ósmidliga
vandaligur	síeftiransin,nærlagdur,snotiligur,torførur
vandamál	síivamál
vandamikil	síeftiransin,nærlagdur,torførur
vandasamur	sítorførur
vandasigling	sívandi
vandasjógvur	síhav,sjóvarilska,stað
vandasmíð	síbygging,list
vandastund	sívánatíð
vandastøða	sívandi
vanda sær	Samheiti:gera sær ómak,vera nærlagdurgera e-t so væl sum gjørligt;gera sítt besta;gera sum best, frægast;kýta seg;leggja doyðin á;leggja sær eina við;leggja sær nær;vanda sær um↔ansni,eftiransin,lirka,nærlagdur,passa,røkiskapur,tíma,vandaligaAndheiti:arbeiða óvandaliga
vandatíð	sívánatíð
vandaveður	síillveður
vandaøki	sístað
vandfingin	sítorførur
vandfunnin	sítorførur
vandi	sívaniSamheiti:ábyrgdarvandi,bráðvandi,brunavandi,deyðavandi,deyðaváði,eldvandi,fári,haski,havsneyð,heilsuvandi,hætta,hættingur,hættisferð,krígsvandi,lívskeyp,lívsvandi,neyð,neyðarstandur,neyðarstøða,neyðstandur,neyðstøða,óeydnuferð,stórvandi,stríðsvandi,tapsvandi,vandaferð,vandasigling,vandastøða,vandræði,váðaferð,váðagerð,váðasigling,váðaverk,váði,vágnaðurhættislig ferð, gerð, støða(vanlukkustandur)búskaparkreppa,byrjanartrupulleiki,fíggjarkreppa,heimskreppa,kløtur,kreppa,kreppustøða,minnimansstøða,neyðarkor,orkukreppa,ólukkulag,ólukkuskil,ræðuleiki,ræðuligleiki,skilaloysi,stjórnarkreppa,troka,trongd,trongi,trongstøða,trupulleiki,tvøri,tvørleiki,undantaksstandur,undantaksstøða,vanlukkulag,vanlukkuskapur,vanstøðaeingin funtur í;einki, ikki, lítið fantilsi á;einki, lítið, ringt skil á, í;eitt jammurs lag, verri skil;illa, verri vorðið;ófriðarligar tíðir;ólukku, vanlukku, vána skil, standur, støða;ringar umstøður, ring kor;ring, ótolandi, óvirðilig, torfør, vánalig støða;ringt, vánaligt skil;ringur, syndarligur, vanlukkuligur standur, tilstandur;□har er eitt verri skil;har er skil og fantur, standur og skil;har, tað er alt ein sugga, eitt svans;tað er eitt fantilsi, skil↔bangin,hindur,miseydnast,neyðkomin,óheppin,ólagna,vánatíðAndheiti:trygd
vandin	síkræsin,nærlagdur,ófúsur
vandlátur	síkræsin,ófúsur
vandlæti	sístrangleiki
vandni	síansni
vandra	sívakna
vandring	síandvekur
vandræði	sívandi
vandur	sífullkønur,torførur
vanegli	síkloddaarbeiði,letingi,óflýggjakroppur,vánamaður
vanførur	síbrekaður
vangabátur	sísjófar
vangabrestur	síduk
vangafjaðrar	síhár
vangagráur	sílitaður
vangahallur	síframyvirboygdur
vangamynd	símynd
vangaskegg	sískegg
vangasvartur	sílitaður
vangi	síveggur
vanhalga	síspotta
vanhalgan	síhalgibrot
vanheiður	síeyðmýking
vanheilagur	síheiðin
vanheilsa	sísjúka
vani	Samheiti:arvmentir,bátssiður,borðsiður,borðskikkur,bygdarsiður,dansisiður,drykkjuvani,ferðslumentan,ferðslusiður,fólkasiður,fólkaskikkur,fyrndarbrúk,fyrndarsiður,góðvani,halgisiður,háttur,hevd,hvønndagskostur,hvønndagsmatur,kempusiður,kirkjusiður,matsiður,máti,navnasiður,ritual,siðaarvur,siðalag,siðarvur,siðaskapur,siðastandur,siðferð,siðreglulag,siður,siðvenja,siðvísi,skikkur,tingsiður,vanafesta,vanafesti,vanahugsan,vanalív,vanalyndi,vandi,veitslusiður,venjadagligur kostur;fastur, fornur, gamal siður, skikkur, vani;góður, ringur siður, skikkur, vani o.fl.;□flestallir, flestir, fólk, menn, summir hava til vana, plaga at...;mann, onkur er vanur, hevur til vana, plagar at...;tað er fast, vanligt at...;tað er í brúki at...;tað er (so) vist mark (hjá honum) at...;tað verður nógv gjørt av at...↔gerandislív,leggja av,medferð,plaga,sømileiki,turvelvandi,uppaling,vanabundin
vanigla	síkloddaarbeiði,letingi,óflýggjakroppur,vánamaður
vanigli	síkloddaarbeiði,letingi,óflýggjakroppur,vánamaður
vank	sívanda
vanka	síferðast,ganga
vankantur	síútlinja
vankunna	síbýttisskapur
vankunnleiki	síbýttisskapur
vanlagna	síólagna
vanliga	síalsamt,altíð,ofta
vanligur	síóuppgjørdurSamheiti:algongdur,hvønndagskendur,hvørsdagsligur,íðuligur,ígongdur,tíðførur,tíður,varandi↔reglubundin
vanlukka	síólagna
vanlukku	síógvuliga,óheppin
vanlukkudagur	sívánatíð
vanlukkudýr	sívánamaður
vanlukkulag	sívandi
vanlukkuliga	síógvuliga
vanlukkuligur	sísvárur
vanlukkuskapur	sívandi
vanlukkustaður	sístað
vanlukkustandur	síólagna,vandi
vanlukkutilburður	síólagna
vanlukkutíð	síólukkutíð
vanlukkutrygging	sítrygging
vanlukkutryggja	sítryggja
vanluti	síbýti
vanmáttarkensla	símáttloysi
vanmáttur	símáttloysi
vanmegd	símáttloysi
vanmenni	sívánamaður
vanmet	síeyðmýking
vanmeta	síspotta
vanrakstur	síræðsla
vanrøkin	síórøkjutur
vanrøkja	Samheiti:misrøkja,órøkja,ótýggja,vanrøkta,vanskettafara illa um, við;ganga illa um;ikki ansa, passa, røkja nóg væl;lata fara í forna, í órøkt;lata ganga fyri vág og vind;lata liggja niðurfyri;leggja á lán;leggjast á boðini;órøkja burtur;sleppa upp á fjall↔oyðsla burtur,órøkiskapur,órøkjutur
vanrøkt	síórøkiskapur
vanrøkta	sívanrøkja
vanrøktaður	sídygdarleysur
vanrøktur	sídygdarleysur
vansamál	síivamál
vansi	síhindur,ivamál
vansigur	síósigur
vansjón	síótrivavætti,ræðumynd,vánamaður
vanskapa	síboyggja
vanskapaður	síbrekaður
vanskapningur	síkryplingur
vanskaptur	síbrekaður,óskapiligur
vanskepiligur	síbrekaður
vanskepilsi	síkryplingur
vanskepla	síboyggja
vanskeplaður	síbrekaður,óskapiligur
vanskepling	síavlaging
vanskepna	síólagna
vansketni	Samheiti:fyrilitsloysi,gáaloysi,gáloysi,gáloysni,hugsanarloysi,líkasæla,marglæti,misgáa,óansni,óforsíggja,óforsynja,óhyggja,óráðtøkni,ósketni,óskoytni,óvarni,skilaloysi,tankaloysi(bráðræði)gæs,gæsni,ovrasni,ovrásni,óráðtøkni(ódugnaskapur)dugnaloysi,evnaloysi,illvirkni,kellingarlag,kleyvarskapur,ómagaskapur,ómansskapur,óvandnióstortsligt handalag↔barnaskapur,busutur,býttisskapur,dáragerð,heimføðisskapur,miseydnast,ovtala seg,óheppin,ólagna,órøkjutur,ósmidliga,spilla fyri sær,tápuligur,vánamaðurAndheiti:ansni
vansketta	sívanrøkja
vanskettin	síbusutur,órøkjutur
vanski	síhindur,ivamál
vanskil	sískipanarloysi
vanskøddur	síilla ílatin,nakin
vanstýri	síórøkiskapur,skipanarloysi
vanstøða	sískipanarloysi,vandi
vansælur	síóheppin
vansømd	síeyðmýking
vant	símastrartog
vanta	sítróta
vantandi	sítróta
vantreyst	símótloysi
vantreysti	símótloysi
vantrivnaður	símáttloysi
vantrivnaligur	síkraftleysur
vantrivnast	sívantrívast
vantrivni	símáttloysi
vantrivningur	sípinkulingur
vantrívast	Samheiti:avtrivnast,illtrívast,mistrívast,mistrivnast,vantrivnastikki trívast, trívast illa;koma seint fyri seg;mennast, vaksa, vitkast seint;standa í stað;vaksa niðureftir sum kálvahali;□hann er ikki hvokkin, stokkin úr stilli;tað er ósigur í honum(miskomast)grógva, næla illa, seint;koma illa upp↔brekaður,kraftleysur,kryplingur,máttloysi,máttsúgva,pinkulingur,sjúka,sjúkurAndheiti:búnast
vantrúgv	síheiðinskapur
vantrúgva	símistrúgva
vantrúgvin	síheiðin
vantur	símastrartog
vanur	sífullkønur
vanvart	síbrákaligur
vanvirdur	síilla dámdur
vanvirða	síeyðmýking,spotta
vanvirði	síeyðmýking
vanvirðiligur	sívanæruligur
vanvirðing	síeyðmýking
vanvirðisliga	síforhánisliga
vanvirðisligur	sívanæruligur
vanyrða	sílasta
vanyrði	síkloddaarbeiði
vanyrðiligur	sívanæruligur
vanæra	síeyðmýking,spotta
vanærandi	sívanæruligur
vanærdur	síspottaður
