ydda	síspíska
yvirskot	Samheiti:avlop,avlopspeningur,avtøka,ábati,ágóði,ársavlop,ársvinningur,ávinningur,ávøkstur,býtispeningur,eftirtøka,eykaágóði,fæleiga,løtuvinningur,nettoavlop,peningavinningur,rakstraravlop,samansparing,skiftisavlop,skiftisíkast,sparipeningur,tiltakspeningur,umloysur,úrslit,úrtøka,vinningsbýti,vinningur(renta)dragurenta,innlánsrenta,okurrenta,ovurrenta,renturenta,útlánsrenta↔avlop,búnast,endaúrslit,foruttan,grøði,úrtøkugóðurAndheiti:hall,skuld
yvirskrift	sínavn
yvirskørr	síbergloft
yvirstaðin	síendaður
yvirsteinur	sígrót
yvirstempla	sískriva
yvirstjórn	sívald
yvirstætt	síaðalsfólk,samfelagsstætt
yvirsvinnur	síálvarsamur,stoltur
yvirtak	sítak
yvirtala	sínoyða
yvirtaling	sífreisting
yvirtikin	síavstoktur í...,smittaður
yvirtíðarløn	sígjald
yvirtorva	síbrenni
yvirtóni	sítónalag
yvirtráður	síband
yvirtrom	síútlinja
yvirtryggja	sítryggja
yvirtrýst	sítrýst
yvirtænari	síhjálpari
yvirum	Samheiti:tvørturumtvørtur um;yvir á hin bógvin, hina síðuna, í hitt borðið;yvir hinumegin;yvir um↔áraka,báðumegin,hinumegin,javnsíðis
yvirumsjón	síeftirlit
yvirvaksin	síhøgur,mikil
yvirvald	sívald
yvirvánir	sívald
yvirvekraður	sísvøvntungur
yvirveldi	sívald
yvirvinna	sísigra
yvirvunnin	sísigra
yvirvøld	sívald
yvri	sívreiði
yvrigur	síáhugaður
