r	síjavnstrokin
reglubundin	Samheiti:árligur,ártímiligur,bilvísur,dagfastur,dagligur,dagstevndur,fastur,mánaðarligur,reglufastur,regluligur,reglurættur,reglusamur,tíðarvissur,skipaður,vikuligur○sum kemur, vendir, vitjar aftur(skilafastur)beinstevndur,miðvísur,sáttmálabundin,skipaður(tíðarbundin)árligur,árstíðarbundin,ártímiligur,tíðarmerktur,tíðarvissurbundin at samtíðini;bundin, treytaður av árstíðini;merktur av samtíðini, tíðini(regluliga)afturkomandi,afturvendandi,árliga,dagliga,dagstútt,dagstøtt,fast,hálvárliga,javnan,javnt,mánaðarligaat ári, aftur í ári (t.e.) (til), (um) somu tíð næsta ár;á hvørjum ári, degi o.fl.;árliga árs;ár eftir ár, mánað eftir mánað o.fl.;ár og árliga;ár um ár, dag um dag o.fl.;ár undan ári;dag eftir annan, viku eftir aðra o.fl.;dagliga dags;dag og dagliga;dagstevnt á hvørjum ári;hvønn dag, tíma o.fl.;um árið, tíman o.fl.;við jøvnum millumbilum↔ásetan,ásettur,galdandi,taktfastur,vanligurAndheiti:umskiftiligur
reglufastur	síreglubundin
reglufesti	síeftirfylgja,endaúrslit,rættvísi
reglugerð	sílóg
regluglopp	síglopp
reglulag	sígrundregla
regluleiki	sírættvísi
regluleysur	síólógligur,umskiftiligur
regluliga	síreglubundin
regluligur	sígaldandi,reglubundin
regluloysi	sískipanarloysi
reglurættur	síreglubundin
reglusamur	síreglubundin
reglusemi	sírættvísi
regluskeivur	síhallur
regluskipaður	síásettur,galdandi
regluskipan	sílóg
regluvillur	sílesa
