r	síjavnstrokin
rótskot	sígróðurnál
rótsproti	sígróðurnál
rótsterkur	sístaðfastur
róvuhvítur	sílitaður
rubba	síbinda,gníggja,sansa at,toga
rubbiknútur	síknútur
rubbisnar	síhonk
rubbitógv	síband
rubbutur	síójavnur
rubinur	sígrót
rudd	síblettur
rudda	Samheiti:hampa,láma,skava,skavastbeina av vegnum;beina burtur;beina burtur fyri e-m;beina til hølis;draga, leggja til hølis;fáa til høldar, hølis, sættis, undir tak;gera nossligari, nossligt, reint;hampa um;hampa uttanfyri, uttan um (húsini);leggja til viks;rigga av;rudda burtur, upp;rudda, skimma, sópa, taka, turka av borðinum;seta á rættan stað, rætt pláss;skimma alt til;skoyna, turka, vaska tað ringasta burtur (av e-m);taka fornklássur upp eftir e-m;taka til høldar, upp;taka upp av heystinum;turka upp(busta)máa,pussa,skrava,skrubba,skúra,skøvabusta burtur av e-m(turka)káva,kisa,máa,skava,skeina,skoyna,strúkakáva upp og niður;strúka, turka, av, burturav, eftir e-m;taka ein lappa eftir;taka hondina eftir (e-m)(viska)gníggjaviska burtur, út(sópa)feia,kveistraskipa burtur;sópa flórin;sópa undan neytu(nu)m;tøma køstin(dustsúgva)reinsa,reinskagera reint;hvista burtur(ryðja)smala,smaldrabróta upp grót;henta bø(in), henta grót av bønum;rudda jørð;ryðja jarðir, jørð↔húsligur,reinføri,reinur,ruddiligur,rudding,skilja,vaska,vaskingAndheiti:órudda
ruddaður	síruddiligur
ruddiliga	síríkiliga
ruddiligur	síheiðurligur,húsligur,trúgvurSamheiti:avblástur,forpilkaður,hampa,hampaligur,hampiligur,nossligur,ovurruddiligur,ruddaður□har er reint og nossligt, ruddað, ruddiligt;har er alt skimmað, sum blást, væl frágingið;tað skínur á hvørjum spreki, í hvørjum króki;tað skínur út í tún↔húsligur,reinføri,reinur,rudda,rudding,vaska,vaskingAndheiti:óruddiligur
rudding	Samheiti:høvuðsreingerð,kavarudding,reingerð,reingering,reinhald,ruddingararbeiði,sóp,sóping,upptak,upptøka↔húsligur,reinføri,reinur,rudda,ruddiligur,vaska,vasking
ruddingararbeiði	sírudding
ruddingur	sísjóvarilska
rudningur	sísjóvarilska
rudstaður	síblettur
ruða	síslatrivætti
ruðast	síslatra
ruðukeil	síslatrivætti
ruðuleiki	sívavstur
ruður	síknykil,slatur
ruðuvasi	sívavstur
ruðvelt	síaldutur
ruff	síbarbrot
ruffa	síkradda
ruffari	síkraddari
ruffisligur	síilla ílatin
ruffur	síbarbrot
ruffutur	síbusutur,illa ílatin
rufla	sírukka saman
ruflutur	síójavnur,rukkutur
rufsa	sírukka saman
rugakur	síjarðarstykki
rugbreyðsflís	sídáli
rugflís	sídáli
rugga	síganga,nana,ruraSamheiti:bólta,duffa,knugga,knukka,liva,nana,nina,riða,rilka,rilta,rinka,ríða,rulla,rura,rørast,skekla,skinkla,skrinkla,sveiggja,svinga,vagga,veiggjageva seg;liggja uppi á roppi;ridla, sveiggja higar og hagar;skekla, skinkla sum ein (gamal) rossleypur;vera óstúttur↔danda,førka,nana,rista,rura
ruggustólur	sísessur
rugkornstunna	síkassi
rugtunna	síkassi
rukka	síbýttlingur,gráta,gremja seg,kastibløka,rukka samanSamheiti:alda,andlitsrukka,brigd,brigda,brot,búkfall,bylgja,ellisrukka,fall,felling,foyra,grógv,illsinnabiti,illsinnisrukka,legd,óslætti,pípur (flt.),rakrukka,rupla,rykking,skrukka,veðurrukka,veil,veila(faldur)brot,buksubrot,buksufaldur,driftinivel,falsur,hosubrot,hundsoyra,húgvubrot,kappafaldur,kotafaldur,kyrtilfaldur,niðurbrot,skjúrtafaldur,sokkabrot,uppbrot,uppslag,vattarbrot(líning)buksukvarði,hálskvarði,hálslíning,kantseymur,kvarði,líningur,skódúkur(kinkur)kingul,liður,likk,likkur,linkur,lykkur,løguliður,nykkur↔boygging,krympast,ójavni,ójavnur,rukka saman,rukkutur
rukkaður	sírukkutur
rukka saman	Samheiti:krympa,rimpa,rufla,rufsa,rukka,rulka,rykkja,rylkja,skelkja,skrykkja,snerkja,snerpagera óslættan, ruflutan, rukkutan o.fl.;gera rukkur á, í;kurla, rulla, skrykkja, vinda saman;leggja í rulk↔krympast,ójavni,ójavnur,rukka,rukkuturAndheiti:beinka
rukkast	síkrympast
rukkufyl	síbýttlingur
rukkukendur	síuppgjørdur
rukkukoyring	síflutningur
rukkulív	síólagna,óreglulív
rukkusøga	sífrásøgn
rukkutari	sítari
rukkutur	Samheiti:brigdutur,buktutur,bylgjutur,foyrutur,furkutur,geilutur,krympaður,lykkjuskotin,ójavnur,óslættur,ríputur,rókutur,ruflutur,rukkaður,rulkutur,samankronglaður,samankrympaður,samanrukkaður,samanryktur,samanskryktur,samansnerktur,skrukkuturí rulki;rukkutur og skrukkutur;□hatta er, liggur sum ein rukkusperil↔krympast,ójavni,ójavnur,rukka,rukka saman,samankominAndheiti:flatur
rulka	sírukka saman
rulkur	sífitibjølgur,pinkulingur
rulkutur	sírukkutur
rull	síbólt,sigarett,sjóvarilska
rulla	síbólt,gera brot á,roykja,rugga,skriv,toyrulla,uppreksan
rullibukka	sísjófar
rullistartur	sístartur
rullistólur	sísessur
rullitrappa	síflutningsband,trappa
rullugardina	síforhang
rullumaður	sísjómaður
rulluportur	síinngongd
rullutur	síaldutur
rumbla	síbeistast,ljóða
rumbul	sílevind,ljóð
rumla	síljóða
rumma	síarbeiða
rummalareiggj	síavlop,levind,vavstur
rummanareiggj	síavlop,levind,vavstur
rummarareiggj	síavlop,levind,vavstur
rummiska	síhjálpsemi
rummiskheit	síhjálpsemi
rummiskur	síhjálpsamur,oyðslutur
rumpa	síafturpartur
rumpari	síkynvillingur
rumpugráur	sílitaður
rumpuhvítur	sílitaður
rumpulitaður	sílitaður
rumpulittur	sílitaður
rumpumorreyður	sílitaður
rumpustell	síafturpartur
rumpusteyri	síafturpartur
rumpustykki	síafturpartur
rumpusvartur	sílitaður
rumsa	síbeistast,førka
rumsalareiggj	síavlop,levind
rumsast	síbeistast,førka
rumsla	síbeistast
run	síósemja,sjóvarilska
runa	sídálk,gera aldu,mold
runan	sísjóvarilska
runast	sídálka,skvagga
runda	síboyggja
rundanum	síkring
rundbogaður	sírundur
rundbogastílur	síútsjónd
rundbygdur	sírundur
rundbøllingur	sígrót
rundbøllutur	síframyvirboygdur,rundur
rundferð	sítúrur
rundføttur	síóstúttur
rundingur	síbugur,ringur
rundkoyring	síkoyrivegurSamheiti:vegamót
rundleittur	síførligur,hovin,rundur
rundligur	síhovin,rundur
rundovnur	síeldur
rundsalta	sísalta
rundskriv	síboðan,skriv
rundstokkur	síviðarbulur
rundtræ	síviðarbulur
rundur	síhovin,ókruvdurSamheiti:rundur,avbrýndur,avrundaður,áflatur,árundaður,árundur,bendur,bogin,boygdur,bugaður,buktaður,bungutur,búkutur,bøllutur,bønvaksin,eggklingrutur,eggvaksin,hálvrundur,hválvaður,hválvdur,innbugaður,íbogin,klingrutur,klingurleittur,klongrutur,knattrundur,knattvaksin,knøttutur,krappreistur,krappur,kringlaður,kringlutur,kringrundur,kronglutur,krókaður,krókutur,krønglutur,kúlubøkutur,kúlurundur,kúluskapaður,kúlutur,kúluvaksin,kúpin,kúputur,lykkjuskotin,mýldur,oddklingrutur,óbeinur,ójavnur,órættur,samanringaður,samanringdur,ringskapaður,rundbogaður,rundbygdur,rundbøllutur,rundleittur,rundligur,rundvaksin,rungutur,saðilbogin,saðilborin,saðilboygdur,sigdvaksin,skálskapaður,skeivur,sneiddur,trillrundur,útbugaðurbendur og bogin;bendur inna, útá, ymsar vegir;brýndur rundur, mýldur;við bugum, sneiðingum o.fl.;○sum hevur kúluskap;□hatta er sum ein bogagjørð, eitt ess(snaraður)undanlagsturlagstur undan↔avlangur,bogna,boygging,boyggja,bugur,hjóla,hovin,innfallin,kubbuturAndheiti:beinur,beinvaksin
rundvaksin	síhovin,rundur
rundveltur	sífløktur
runga	sígremja seg,knykil,ljóða
rungur	síknykil
rungutur	sírundur
runi	síeldgos,grísur
runing	sísjóvarilska
runkur	síknykil
runnagirðing	sírimaverk
runnastik	sírimaverk
runnin	síliðin
runnur	síknykil
runs	síbaksan
runt	síallastaðni,kring
runubankur	sífótur
runublak	síbaktal,blak,mold
runublettur	síblettur,dálk
runubloti	síkelda,mold
runudassi	síótrivavætti
runudálkaður	sískitin
runudíki	síkelda,mold
runudyndi	síkelda,mold
runuhylur	síkelda
runumubbur	síótrivavætti
runurenna	síá
runusíl	sífiskur
runutur	síaldutur,bleytlendur,skitin
runutún	sítún
runuvatn	sívatn
runuveit	síá
rupl	sísjóvarilska
rupla	sídreiva,rukka
ruplaligur	síaldutur
ruplutur	síaldutur
rupul	sísjóvarilska
rura	síruggaSamheiti:bipa,bispa,knugga,knukka,rilpa,rugga,vaggaknugga undir (barni);leggja e-n at sova, stappa e-n;rura e-n í blund, svøvn;rura fyri e-m↔nana,ruggaAndheiti:vekja
rus	síavlop,fyrireiking,levind
rusa	símøsna
rusast	síbeistast
rusk	síavlop,illveður,regn,sindur
ruska	sístorma,toga
ruska veðrið	sístorma
ruskbingja	sígoymsla
ruskdagur	síódnardagur
ruskdungi	síavlop
ruskílat	sígoymsla
ruskkassi	sígoymsla,kassi
ruskkoyring	síflutningur
ruskposi	síposi
ruskubaldur	síbarbrot,ótrivavætti
ruskusliga	síósmidliga
ruskusligur	síilla ílatin,ófriðarligur,skitin
ruskutur	síaldutur,skitin,veðurringur,vreiður
ruskveður	síillveður
rusl	síavlop,skrift
rusla	sískriva
rusp	síkloddaarbeiði
ruspa	síarbeiða óvandaliga,klóra,skriva
russasligur	síilla ílatin
russur	síótrivavætti
russutur	síilla ílatin
russvølur	síkallskøp
rust	sífjall
rusta	sírustur
rustaður	sírustur
rustagingin	sírustur
rustalopin	sírustur
rustari	síjarðarstykki
rustarspik	síspik
rustblettur	síblettur,rustur
rustdyggur	sítryggur
rustetast	sírustur
rustfríur	sítryggur
rustikustur	sírustur,sjófar
rustlittur	sílitaður
rustreyður	sílitaður
rustrok	sírokilsi,rustur
rustskón	sírustur
rustur	Samheiti:riskur,rustblettur,rustikustur,rustrok,rustskón,saling,salingardropi,salingur,skeljarustur(rusta)riska,rustetastgerast, verða rustalopin;svølla upp í rusti(rustaður)gravrustaður,riskaður,rustagingin,rustalopinfarin at rusta;reyður av, í rusti(tæring)etjing(tæra)etjaeta seg inn í;loysa upp(tærast)etast upp av...(tærdur)uppetin,upptærdur(eiring)árdømi,eirdømi(eira)falla á;fáa eirdømi;gerast áfallin, eirgingin, eirgrønur(eirdur)eirgingingrønur av eirdømi;□tað (eiring, rustur o.fl.) legst á e-t↔matast burtur
rustvatn	sívatn
rusutur	síófriðarligur
rut	síavlop,fiskur
ruta	síferðaleið,gremja seg,sigling,tríalingur,túrur
rutast	síarbeiða
rutla	sídreiva
rúðralopin	síloðin
rúðrasker	sísker
rúðraskotin	síójavnur
rúðrasteinur	sígrót
rúðravaksin	síloðin
rúðregg	síegg
rúðrutur	síloðin,ójavnur
rúður	síútlinja
rúðurbori	sífuglur
rúgva	síhópa,nøgd,rúgva upp
rúgvast	síhópast
rúgva upp	Samheiti:fylla,rúgva,skroyva,skrólafylla, rúgva nógv;gera nógv út (í rúgvu);skroyva sær;skroyva upp;skróla so nógv av sær, upp;standa til húsaskorð;taka nógv pláss, rúm;taka nógv upp á seg;taka rúmd;vera royvin, rúgvuligur, rúgvumikil, skroyvin, vavmikil o.fl.;vera stórur í ummáli, ummáls, vavi;□hatta er sum ein húsaskorða;tað er sovorðið húsaskorð í hasum↔hópa,hópast,rúmligur,trongur
rúgvismikil	síhovin,samankomin
rúgvufóður	síífylla,matur
rúgvuligur	síhovin
rúgvulítil	sísmáur
rúgvumikil	síførligur,hovin,samankomin
rúgvutal	sísamankomin
rúgvuvís	sísamankomin
rúilsi	síangur
rúka	síanga,fúka,stinka,tevjaSamheiti:fumma,fuva,osa,slíma,vesa,vesastverða til royk(dampa)guva,heiða,osa,rúkavera loftfimur, loftkvæmur;verða til damp↔illramur,roykja,roykur,sigarett,stinka
rúkandi	sívreiður
rúm	síavkrókur,høli,pláss
rúma	sígera skilarúmSamheiti:bera,føra,goyma,lasta,svølgja,takaflóta undir;hava pláss, rúm, rúmd fyri, til;kunna føra, goyma, hava, innihalda, innihava, íhava, taka ímóti o.fl.(innihalda)hava,innihava,íhavahava í sær;vera samansettur av(rúmast)ganga í;kunna fáa pláss, rúm, rúmd;kunna vera har, í har;vera pláss, rúm, rúmd fyri↔goymsla,rúmligur
rúmasigling	sísigling
rúmast	sírúma
rúmbekkur	sísessur
rúmd	sípláss,verøld
rúmdarbúni	síklæði(r)
rúmdarferð	síflúgving,túrur
rúmgóður	sírúmligur
rúmhyrntur	síhyrntur
rúmka	Samheiti:breiðka,dýpa,hækka,lagdraga,leingja,síðka,strekkja,stremba,størka,tamba,temba,tenja,toyggja,vaksa,víðkadýpa, rúmka, økja o.fl. um;gera e-t breiðari, djúpari, longri, rúmligari, víðari o.fl.;leggja niður, út;remba seg, sær;skroyva e-t (t.e.) fáa at rúgva nógv upp, sýnast nógv í vavi;sparra, spenna, sperra, spíla upp, út;strekkja, stremba, tamba, tenja út;tenja jarn (t.e.) deingja jarn;toga á tamb;toyggja úr hvørjari lykkju;vaksa um e-t(framleingja)framleingja sáttmála, veksil o.fl.↔rúmligur,strektur
rúmkan	sívøkstur
rúmliga	síríkiliga
rúmligur	síríkiligurSamheiti:bátsrøtt,botnbreiður,bjølgutur,breidligur,breiður,fjøkin,javnbreiður,ovurstórur,posutur,rúmgóður,rúmmikil,rúmsáttur,rúmur,rørligur,sátuførur,serstórur,stakstórur,stórfjøkin,stórligur,stórsleingin,stórur,vídligur,víðførur,víðgongdur,víðlendur,víðurheldur stórur;í størra lagi;ov breiður, stórur, víður o.fl.;stórur í ummáli, ummáls, vavi, vídd;stórur til víddar;stórur umbermis, umhvørvis;væl rúmdur;□har er gott, nógv pláss, rásarúm, rúm;har er høgt til lofts(ið) og vítt til veggja;har eru rúmar ræsur;har er (væl) rógvandi, væl røtt;hatta er sum skálakjaftur↔bjølga,førligur,hovin,máldrúgvur,mikil,rúgva upp,rúma,rúmkaAndheiti:trongur
rúmloysi	síplásstrot
rúmmikil	sírúmligur
rúmsáttur	sírúmligur
rúmskast	síførka
rúmskinnaður	síhovin,kvapsutur
rúmskygdur	sífrílyntur
rúmsnar	síband
rúmt	síríkiliga
rúmur	síríkiligur,ríkur,rúmligur
rúmøkjast	síhovna
rún	síbókstavur
rúna	síganda
rúnabelti	síeydnulutur
rúnabinda	síganda,hugtaka
rúnabjálvi	síeydnulutur
rúnabók	síeydnulutur
rúnabundin	síganda
rúnagandur	sígandur
rúnakelvi	síeydnulutur
rúnalist	sígandur
rúnamál	sítungumál
rúnarað	síriðil
rúnarista	síáskrift
rúnarøð	síriðil
rúnastavur	síeydnulutur
rúnasteinur	sígrót
rúnaveldi	sígandur
rúnaverk	sígandur
rúnir	sígandur
rús	sífyrireiking,levind
rúsa	sífella,skunda sær,svirra
rúsaður	sídrukkin
rúsast	síførka
rúsdrekka	síeiturSamheiti:alkohol,altarvín,bjór,brennivín,brennivínsdropi,brennivínssopi,brúdleypsdrekka,bryggj,diggur,drammur,dregg,drekkaløgur,dropi,durasnapsur,eldvatn,gongusnapsur,hagl,heimabryggj,hjartastyrkur,javnari,jólabrennivín,jóladrekka,jólaløgur,kaffipunsur,kastingarglas,killari,killur,kirkjuvín,knavi,kryvjingarsnapsur,kvirtil,laggardropi,laggardryppur,laggartár,laggdropi,likkari,likørur,lingi,løgg,løggur,mjøður,munnsopi,munnur,punsur,ráki,rekaspritt,reyv,rúsløgur,sjussur,skrástívari,skvettur,slurkur,snapsur,snepil,snubbhani,sopi,sprittdropi,sprutt,sæludropi,tár,tortil,vinglivatn,vín,vínandi,vínbland,vínglas,vínspritt,øl,ølmunnurein skarpur;fløska av, við sterkum;glas av brennivíni, sterkum, víni, øli o.fl.;gott slag;hitt, tað váta slagið;rúsandi, sterkur drykkur, løgur;upp í glasið, munnin, nevið(brennivínskassi)jólakassi↔drankari,drekka brennivín,drukkin,drykkjuskapur,fløska,kenning,skeinkistova,svirra
rúsdrekkakort	síváttan
rúsdrekkakoyring	síflutningur
rúsdrekkaloyvi	sírættindi
rúsdrekkalóg	sílóg
rúseitur	síeitur
rúsevni	síeitur
rúsevnismisnýtari	sídrankari
rúsløgur	síeitur,rúsdrekka
rúsur	síkenning
rútaglas	síglas
rútamál	símátingarband
rútur	sífýrkantur
rútutur	sípuntutur
ryðja	sífúka,mala sundur,óhvassur,rudda
ryðmold	símold
ryðmoldin	sílinur
ryður	síslím
ryggbeita	síagn
ryggbrotin	síbrekaður
ryggbrotna	símeinslast
ryggbrotnaður	síbrekaður
ryggbróta	sískaða
ryggdýr	sídjór
rygging	sísjóvarilska
ryggja	sígera aldu,hugsæra,kryvja
ryggjaður	sílitaður
ryggjarblóð	síblóð
ryggjarfattur	sífattur
ryggjari	síknívur
ryggjavelta	síjarðarstykki
ryggjutur	sílitaður
ryggsekkur	síviðføri
ryggskaði	síbrek
ryggsterkur	sísterkur
ryggstirvin	síharður
ryggsvimjing	sísvimjing
ryggur	síeplaryggur,fiskileið,fjall,hoyggj,sjóvarilska
ryggverkur	sípína
rygna	sínørast
rygndur	síkviðin
rygning	sínøring
rykk	síátak
rykkiband	síband
rykking	síátak,rukka,strika
rykkingarband	síband
rykkja	síbiðja,rukka saman,toga
rykkjarabræv	síkrav
rykkjari	síkrav
rykkjast	sískeldast
ryktast	sífrættast
rykti	síámæli,illgruni
rylkja	sírukka saman
rylkjast	síkrympast
rym	síhæsi,slím
rymja	síljóða,skríggja
ryssa	síkvennvera,ross
ryssufyl	síross
ryta	sífuglur
rytma	sítónalag
rytta	sívánamaður
ryttari	síríðingarmaður
rýða	sísmyrja
rýma	sífara
rýmdur	síburturstaddur
rýming	Samheiti:flótti,flýggjan,fólkaferð,fólkaferðing,fólkaflutningur,tjóðflutningur,undanhald,undanrenning,undanrýming(flóttaroynd)rýmingarroynd↔burturstaddur,fara,flóttafólk,flyting,sleppa leysurAndheiti:álop,elting,koming
rýmingarroynd	sírýming
rýmingarvegur	síferðaleið
rýmingur	síflóttafólk
rýpa	sífuglur
rýta	sísnorka
rýtma	sítónalag
ræ	síbeinaræ,seyður
ræast	síóhvassur
ræddhugi	síræðsla
ræddoygdur	síbangin
ræddur	síbangin
rædduskítur	síræðuskítur
rædjór	sídjór
rædýr	sídjór
ræða	síræðumyndSamheiti:hundræða,hvøkkja,klikkja,kløkka,lemja,ógva,ótta,skaka,skakka,skelka,skrekkja,skremja,stangarræða,styggja,øgafáa at hvøkka, stúrsa við;fáa at óttast, ræðast;gera bangnan, kløkkan, ræddan, skelkaðan o.fl.;gera ræðsluslignan, stívan av ræðslu;loypa bangilsi, hvøkk, ótta, ræðslu, o.fl. á e-n;loypa, seta skelk, støkk í e-n↔bangin,fólkaskýggin,jagstra,mótfallin,mótloysi,óhugnaður,ræðandi,ræðast,ræðsla,ræðumynd,ræðuskítur,skelkandi,vánamaðurAndheiti:spekja
ræðandi	sísvárurSamheiti:avskræmiligur,drápiligur,drápuligur,frekur,gresiligur,gressiligur,grovur,grúiligur,grøtiligur,harður,herviligur,hóttandi,hættisligur,mikil,nógvur,ófittur,ógviligur,ógvuligur,ótálmaður,óttaligur,óttamikil,ringur,ræðiligur,ræðslumikil,ræðuligur,ræðumikil,sansaleysur,skakandi,sterkur,stórur,teymaleysur,villur,vitleysur,uppskakandi,øðiligur,øðimikil,øðisligur,øðismikil,øgiligur,øguligur,ørandi,ørvillur,øtandi,øtiligur,øtuligurav tí grovasta;ikki álvuligur, ikki tespiligur(óhugnaligur)hamkendur,huldisligur,illboðandi,ilsligur,mishugaligur,ódámligur,ófjálgur,ófrættakendur,ófýsiligur,ófýsin,ófýsisligur,ógagnsligur,ógóðsligur,óhugaligur,óhugnakendur,óhugnasamur,ósvívið,ótespiligur,ótýdligur,óunniligur,trølskur,trølsligurósvívið, ikki dandist, dælt, fýsiligt, snotiligt, tespiligt, týdligt o.fl.;○sum boðar frá illum;sum ikki boðar frá góðum;sum veit ilt í;□honum var ikki látur í huga;tað fór kalt niður eftir bakinum↔bangin,misháttur,nógvur,ógvuliga,óhugnaður,ólýsandi,ræða,ræðast,ræðsla,skelkandi,torførurAndheiti:hugnaligur
ræðast	Samheiti:deyðaræðast,firnast,firrast,frykta,kúra,óttast,stúra,varnastbera bangheit, ótta o.fl.;detta í sjálvdømi, falla í sjálvdømi, geva seg undir sjálvdømi;falla í fátt, vónloysi;fáa ótta, skelk;firnast e-n, firnast fyri e-m;fjáltra, ganga kykur, ristast, skelva o.fl. av bangilsi, ótta, ræðslu o.fl.;formáa sær lítið;ganga, sita við bivan og øtan, ótta og bivan;ganga við eygunum á baki;gera sær stúringar;gerast bangin, hjartkiptur, óttafullur o.fl.;hava ampa, ekka á sær;hava ampa, ilt av e-m;hava hjartað uppi í hálsinum;hava kálvahjarta;hava, kenna ampa, ekka, órógv, ótta o.fl. (á sær);hava (ringar) krillur, nervar;ikki eiga, hava áræði, dirvi, mót, nervar o.fl. (til) at...;ikki halda seg, líta sær til;ikki hava matdirvi sítt;ikki hava nervar (til) at...;ikki kenna seg tryggan, sær trygt undir fótum, fótunum;ikki tora, unnast;ikki vera álvuligur;kenna ótta á sær;kenna seg ótryggan;missa mátt og megi, mótið;ongar krillur, nervar hava;orna um skallan;sita, standa við hjartanum í aðrari brókini, í vinstru brók, (uppi) í hálsinum;sita við bangnum hjarta, við eitt bangið bróst;stúra fyri e-m;tora, unnast illa;vera bangin, flogræddur, ræddur o.fl.;vera bangin, ræddur av sær, fyri e-m, um e-t;vera bangin, trongur um e-n;vera bundin av ótta;vera frá sær sjálvum, hamskiftur, ómansligur, óttasligin av bangilsi, ræðslu o.fl.;vera fullur í nervum, merktur av ræðslu;vera hamskiftur, lamin, lamsligin, stívur, øroygdur av ræðslu;vera heitur um seg, um skallan;vera illa skeittur, illa við;vera lítið djarvur;vera merktur av angist, ótta, ræðslu o.fl.;vera ræðslusligin, ræðslutikin o.fl.;vera uppi á floti, uppi í strúgva;verða fyri ongum;□bangnir tankar koma á e-n;hárið krýpur, reisir seg á høvdinum;hárini reisa seg á høvdinum;hjartað er í brókunum, vinstru brók;ótti, ræðsla fellur, kemur á e-n;tað fer kalt niður eftir bakinum (á e-m);ylur rennur at e-m(óttast framtíðina)mála fanan, fjandan, hin versta á veggin;síggja trøll á alljósum, ljósum degi, undir hvørjum steini;síggja vanda í øllum;vera bangin av, fyri ongum;vænta sær tað ringasta, versta↔aftra seg,bangin,bilsnast,fána,fólkaskýggin,her gerst einki,mótfallin,mótloysi,ógvast,óhugnaður,ræða,ræðandi,ræðsla,ræðuskítur,skelkandi,skýggja,styggjast,styggur,vánamaður
ræði	sívald
ræðil	síræðumynd
ræðiligur	símannvándur,nógvur,ræðandi,svárur
ræðimikil	síhábærsligur
ræðing	síhóttan,tvingsil
ræðsla	Samheiti:ampi,angist,bangheit,bangilsi,bangni,bágur,biv,bivan,dapurskygni,deyðaangist,deyðakvøl,deyðaótti,deyðaræðsla,deyðsótti,ekki,fjáltur,frykt,hjartatrongd,hjartbangilsi,hvøkkur,kløkkur,kvíða,kvíði,mannræðsla,myrkaræðsla,óró,órógv,ótti,ræddhugi,sálarangist,sjúkuræðsla,skelkur,skjølkur,skrekkur,spenningur,stúr,stúran,stúring,stúrinleiki,stúrni,stúrsil,støkkur,svartskygni,trongd,trøllaræðsla,øtan(stygd)styggleiki(vanrakstur)vanrakstur er á seyðinum, kom á, í seyðin(vargur)vargur er í seyðinum t.e. seyðurin er flogstyggur, komin upp í varg↔bangin,fólkaskýggin,her gerst einki,mótfallin,mótloysi,ógvast,óhugnaður,ræða,ræðandi,ræðast,ræðumynd,ræðuskítur,skelkandi,smásárur,smædni,smæðast,smæðin,sorg,styggjast,styggur,vargur,vánamaðurAndheiti:dirvi
ræðslubundin	síbangin
ræðslukendur	síbangin
ræðslumikil	síræðandi,svárur
ræðslusjón	síræðumynd
ræðslusligin	síbangin
ræðslutikin	síbangin
ræðubílæti	síræðumynd
ræðuleiki	sívandi
ræðuliga	síógvuliga
ræðuligleiki	sívandi
ræðuligur	símannvándur,nógvur,ræðandi,svárur
ræðumikil	síræðandi,svárur
ræðumynd	Samheiti:kvørkviski,kvørkvisni,ræðslusjón,ræðubílæti,ræðusjón,skepilsi,sorgarsjón,sorgarskorturræðandi sjón(vansjón)argasjón,eygnariv,forargilsi,ósjónljót, ótespilig sjón(fuglaræða)fuglastyggja,ræða,ræðil,skottræ(rossaskrelja)skrelja↔ljótkast,misháttur,ræða,ræðslaAndheiti:lokkuboppa,prýðislutur
ræðusjón	síræðumynd
ræðuskítur	Samheiti:dirvisloysingur,hjartloysingur,mótloysingur,rædduskítur(kveiningur)bloyta,burtursníkur,grenj,kveina,kvørkvisi,kvørkviski,kvørkvisni,smeikja,undanfírur↔bangin,fólkaskýggin,mótfallin,mótloysi,ræða,ræðast,ræðsla,vánamaðurAndheiti:avtakafólk
ræfuglur	sífuglur
rægammur	sífuglur
rækjubátur	sísjófar
rækjufiskiskapur	sífiskiskapur
rækjurist	sískiljari
rækjuskip	sísjófar
rækjutrolari	sísjófar
rækjuveiða	sífiskiskapur
ræla	sígraður,reka seyð
rælari	síleyslyntur persónur
ræling	sísamlega
rælingur	síseyður
ræma	síhosta
ræna	síavlíva,fleyga,livna,sneyta,stjala
rænari	sítjóvur
ræning	síbakkagonga
ræningarkyrra	sígóðveður
ræningarsig	síbakkagonga
rænir	sílíkindi(r)
ræsa	sílora,reka seyð,turka
ræsi	síá,kelda
ræsna	sírotna
ræstna	sírotna
ræstnaður	sírotin
ræsttornaður	sírotin
ræstur	sírotin
rætla	sítykta,umvæla
rætna	síernast,fatna
rætnaður	síbeinur
rætt	síheiðurligur,júst,sannur,seyðarætt
rætta	síbeinka,geva,reka seyð,umvælaSamheiti:árætta,beina,leiðbeina,loðsa,rættleiða,rættlesabeina, leiða, vísa á rætta leið;fáa (aftur) á beint;fáa e-t (skip o.a.) á rættkjøl;geva, leggja e-m ráð;lesa rættlestur;ráða e-m;rógva aftur á beint (t.e.) rætta e-t aftur;rætta feilir;rætta uppá (e-t)(dagføra)nútíðargeraføra fram til dagin, føra til dags(eftirviðgera)eftirspennafara afturumaftur
rættarbak	síveggur
rættarbotnur	síseyðarætt,veggur
rættarbók	síyvirlit
rættarbót	sílóg
rættarbrot	síbrotsverk
rættardyr	síinngongd
rættarfundur	sífundur
rættarførur	sísterkur,tilkomin
rættargangslóg	sílóg
rættargangur	sísakarmál
rættargarður	sígarður
rættargildi	sígildi
rættargonga	sísakarmál
rættargongd	sísakarmál
rættarhjálp	síhjálp
rættarkálvi	síseyðarætt
rættarkjaftur	síinngongd
rættarkrav	síkrav
rættarlag	sítoft
rættarleysur	síkúgaður
rættarloka	sílok
rættarloysi	sískipanarloysi
rættarmál	sísakarmál,tungumál
rættarmunni	síinngongd
rættarregla	sílóg
rættarsalur	síhøli
rættarsamfelag	sífelag
rættarsókn	sístevning
rættartippi	síjarðarstykki,seyðarætt
rættartrygd	sítrygd
rættartræta	síósemja
rættartrøð	síjarðarstykki,seyðarætt
rættarull	síull
rættarviðgerð	sísakarmál
rættarvitni	síáskoðari
rættarvørðsla	síjarðarstykki
rættarær	sígjald,seyður
rættatoft	sísessur
rættatofta	sísessur
rættferð	sírættvísi
rættferðugur	síheiðurligur,umvendur
rætthugsandi	síheiðurligur
rætthugsin	síheiðurligur
rætthyrntur	síbeinur
rættiliga	síheiðurligur,ógvuliga,passaliga,ríkiliga
rættiligur	sífrálíkur,heiðurligur,sannur
