banna	síforbjóðaSamheiti:bannast,bardía,bardíggja,bika,blóta,bølbiðja,bølva,kola,pína,ragna,turkabanna, biðja sær fyri, upp á (at...);banna, dýra upp á e-t;banna og blóta, kola, svørja, turka;bannast og svørja;banna sum ein turkur;banna við;banna yvir e-m;bannseta e-n;bera, biðja ilt;biðja e-m ilt, biðja ilt fyri, yvir e-m;biðja (hann, hin versta) brenna, eta, kola, kóka, knúsa, steikja, turka o.fl.;biðja illbøn, vandabøn;blóta og ragna;brúka, hava ein fúlan, ljótan, ringan munn;kola og steikja, steikja og kola;lesa eiðir, illbønir (oman yvir e-n), (upp);lesa illamansbønir út yvir e-n;nýta eiðir, illbønir, stór orð;siga illavorðið;siga illbønir;taka dyggan, dýran, grovliga, rívan til;taka ljót orð í munnin;taka til, tríva í eina bølluta, eina illbøn, ein bøllutan;ynskja e-m alt ilt, ónt, ringt,  ynskja ilt (oman) yvir e-n;□hann bæði bannaði og stokti, bæði kolaði og bað, las(svørja)guda,dýra,jesaguda, svørja upp á e-t;misbrúka, misnýta Guds navn;rópa Jesu navn;rópa upp á tað dýra navn;svørja á sína trú, trúgv;svørja fyri (e-m);svørja (so) dygt, dýran, dýrt;svørja við;svørja við Gud;taka dýran til↔bannan,illbøn,illbønavætti,bannseta
bannaður	sífriða,mannvándur,ólógligur
bannan	Samheiti:bandíilsi,banning,blót,blótan,forbannilsi,maladíggilsibannan og blótan;bannan og svørjan;ve og forbannilsi;ve og maladíggilsi(svørjan)svorin bøn, eiður↔banna,illbøn,illbønavætti
bannari	síeyðkenni
bannast	síbanna
banndømdur	síbannseta
bannføra	síbannseta
bannføring	síbannseta
banning	síbannan
bannlýsa	síbannseta
bannseta	síbannaSamheiti:bannføra,bannlýsa,fordøma,fyridømabiðja ilt;lýsa í bann;seta í bann(banndømdur)bannsetturlýstur, settur í bann(bannføring)bannseting(bannsetingarbræv)bræv um, við bannlýsing, bannseting↔banna,døma,lasta,tyktaAndheiti:lovprísa
bannseting	síbannseta
bannsetingarbræv	síbannseta,skriv
bannsettur	síbannseta,mannvándur
bansi	sífuglur
bara	síav illum,einans,gævi
barajól	síburturstaddur
barakk	síbygningur
barasta	síeinans
barastani	síeinans
barbak	sífátækafólk,vánamaður
barbáriskur	síharðhjartaður
barbárur	síóflýggjakroppur
barbrot	síbaksanSamheiti:baksari,bókabøðil,brukali,buffil,buffyl,bukali,bulvirki,bumsari,bungari,bøklabeist,bølari,fesj,funs,hors,hurr,klokkari,klombur,klomburfingur,klótufingur,krotusmiður,ófant,óhøgi,óhøgindi,óskoytingur,ótrivavætti,ruff,ruffur,ruskubaldur,skálm,skridl,skrumbl,skrumbla,skruml,skrumla,skrumlari,skølm,skølmur,tumlari,verkhesturbulvirkisligt, busut, forkut, forsut, illgjørt, klombrut, óskettið fólk(buldrari)skrøtl,brumme-r ið larmar illa(lók)burturskítur,dólgur,døll,døllur,kloss,lork,lorkur,lókur,sløð(bekl)bekil,beklibankur,klárbankur,klárbekil,krinkilsbein,slettibankur↔arbeiða óvandaliga,busutur,kloddaarbeiðiAndheiti:avtakafólk
bardagaár	sívánatíð
bardagafúsur	síófúsur
bardagahugur	sídirvi,týningarhugur
bardagakattur	síóflýggjakroppur
bardagaklæði(r)	síklæði(r)
bardagaleyst	sísjálvbiðin
bardagamaður	síóflýggjakroppur
