úla	sífuglur
útsýnt	Samheiti:sýnt,víðsýntvið góðari tekt, útsjón;við góðum, víðum sýni, útsýni;□haðan er víða sýnt;haðan sæst væl;har er so sýnt allar vegir, so sýnt um;har er útsýnt, víðsýnt↔hyggja,síggja,útsýni
útsøga	síframsøgn
útsøgn	síframsøgn
útsøla	síhandilsskapur
úttaddaður	síútmøddur
úttak	síavrit
úttala	símálnýtsla,siga
úttambaður	síhovin,strektur
úttandur	síhovin,strektur
úttangi	sínes
útteipaður	síútmøddur
úttervaður	síútmøddur
úttikin	sísláa út,útmøddur,valdur
úttjørgaður	sískitin
úttrappa	sítrappa
úttrá	síferðahugur
úttuskaður	síútmøddur
úttúraður	síútmøddur
úttýða	síumseta
úttýðing	sítýðing
úttýggjaður	sískitin,útmøddur
úttærdur	sísjúkur
úttøddaður	síútmøddur
úttøka	síval
úttøkudystur	síkapping
úttømdur	síinnanopin,tómur,uppfiskaður
útum	síburturSamheiti:úthvør í sína ætt, sítt heraðshorn;hvør sína leið, sín veg;hvør til sín, sítt;í allar, ymsar ættir;í bólkar, flandur, partar;í kring;kring, rundan, runt um e-n;út um alt;út yvir...↔burtur,kring,spjaddur,spjaðast,spjaðing,stroya,til viks,uttaná
útumbering	síspjaðing
útumfarin	síburturstaddur
útundirgerð	síhøli
útúr	síburtur
útúrgerð	síhøli
útval	síkjør,úrval,ymiskt
útvalagóður	sífrálíkur
útvalalamb	síseyður
útvaldur	sífrálíkur,valdur
útvalin	sífrálíkur
útvarp	síboðberi
útvarpa	síboða
útvarpsbylgja	síbylgjulongd
útvarpsgjald	síavgjald,gjald
útvarpshús	síbygningur
útvarpskór	sísangari
útvarpsleikur	sísjónleikur
útvarpslurtari	síáskoðari
útvarpslýsing	síboðan
útvarpsrás	síbylgjulongd
útvarpssamrøða	sítos
útvarpssending	sísending
útvarpsskrá	sískrá
útvarpsstova	síhøli
útvarpstíðindi(r)	síboðan
útvatnaður	sísmakkleysur
útvega	Samheiti:skaffabeina e-m e-t;fáa fatur, hendur á e-m, e-t;fáa til vegar↔keypa
útvegamaður	síkeypmaður
útvegari	síkeypmaður
útveggur	síveggur
útvegur	síbjarging,inngongd,leiðbeining
útveljing	síval
útvendur	síuttaná
útvinna	síarbeiða
útvinning	síframleiðsla
útvinsla	síframleiðsla
útvortis	síinnanklæða,uttaná
útyvirgrógvin	síniðurdottin
útætt	sívindur
