sameindir	sísamansjóðaðir,samdur
sameining	sífelag,samanlegging
samfalsljóð	sísemja
samfalsregn	síregn
samfangi	sífangi
samfastur	síavtakin,samanhangandi
samfelag	sífelag
samfelagsbólkur	sísamfelagsstætt
samfelagsfundur	sífundur
samfelagslív	sígerandislív
samfelagsmøti	sífundur
samfelagsstætt	Samheiti:arbeiðarastætt,borgarastætt,bóndasamfelag,hástætt,klassi,miðstætt,samfelagsbólkur,stætt,stættur,undirstætt,verkamannastætt,yvirstætt↔aðalsfólk
samfeldur	sílíkur,samanhangandi
samferðarmaður	sífylgd
samferðsla	sísamband,túrur
samferðsluvegur	síkoyrivegur
samfullur	sísamanhangandi
samfundur	síafturhitting
samføra	sísamanbera
samgildur	sílíkur
samgleðast	sígleðast
samgonga	sífelag,felagsskapur,samanlegging,samband
samgongublað	sískriv
samgonguboð	síboðan
samgongufelagi	sífelagslimur
samgongufundur	sífundur
samgongulamb	sígjald,seyður
samgonguskjal	sísemja
samgonguslit	síspjaðing
samgongustjórn	sívald
samgráur	sílitaður
samgrógvin	sísamankomin
samhald	síblídni
samhandil	síhandilsskapur
samheilur	sísamanhangandi
samheitabók	síyvirlit
samheitaorðabók	síyvirlit
samheiti	sínavn
samhoyrandi	sísamanhangandi
samhóska	síhóska væl
samhugaður	sígóðsintur,samdur
samhugaleysur	síharðhjartaður
samhugalýsing	sífyrigeving
samhugaverkfall	síverkfall
samhugi	sífyrigeving,semja
samhugur	sífyrigeving,semja
samkavi	síkavi
samkennandi	sísamsyrgja,tolin
samkensla	sífyrigeving
samkoma	sífundur,trúarfelag
samkoming	sífundur,skoyti
samkomuhús	síbygningur,kirkja
samkomulag	sífundur
samkynd	síkynslív
samkyndur	síkynvillingur
samla	síhópaSamheiti:miðsavna,sanka,savna,savngoymadraga, grópa, hegna, lata, raka, reka, samla, savna, skava, støðla o.fl. saman;draga land, smør(henta)tínataka upp
samlag	sífelag,felagsskapur,semja
samlagna	sílagna
samlagstrygging	sítrygging
samlandi	sígranni
samlast	síhópast
samlega	Samheiti:brunding,giming,hopp,lítið,making,nummar,ræling,skrenskynslig samvera;kynsligt samband↔føða,graður,greði,kviðin,makast,nørast,tvílívað
samleið	sífylgd
samleikakreppa	síivasemi
samleikaprógv	síváttan
samleikur	sífelagsskapur
samlestur	síbókalestur
samlimur	sífelagslimur
samling	síklókskapur
samlittur	sílitaður
samlíkjast	sísemjast
samlíkur	sílíkur
samlív	sífelagsskapur,gerandislív
samljóð	síljóð,semja
samljóða	síhóska væl
samljóðandi	sílíkur
samljómur	síljóð,semja
samlyndi	sísemja
samlyndur	sígóðsintur
samlyntur	sígóðsintur
samløga	sífelag,felagsskapur,samanlegging
samløgufelag	sífelag
sammarknaður	síhandilsskapur
sammál	sífelagsmál
sammenniskja	sípersónur
sammenniskjansligur	síalmenniligur
sammentan	símentan
sammerktur	sílíkur
sammeta	sísamanbera
sammeting	sísamanbering
sammæltir	sísamdur
samnavn	sínavn
samnevnari	sínevnari
samnevndur	sínevna
samnevni	sínavn
samogn	sífelagsskapur,ogn
samognarbúgv	sífelagsskapur
samognari	síeigari
sampakka	síhóska væl
samprent	síárit
samprenta	síprenta
samráð	sítinging
samráðast	sísiga
samráðing	sítinging
samráðingarfundur	sífundur
samráðingarfúsur	sígóðsintur
samregn	síregn
samrigni	síregn
samríki	sístatur
samríma	síhóska væl
samrok	síkavi
samróður	sísemja
samruni	sísamanlegging
samrunnin	sísamankomin
samrúmsmenn	sífelagslimur
samræði	sísemja
samrøða	síorðaskifti,siga,tos
samrøðuevni	síumrøðuevni
samsekur	sísekur
samsending	sísending
samseting	sísamanlegging
samsigling	sísigling
samsinnast	sísemjast
samsintur	sísamdur
samsipan	sílíkskapur
samsíðis	síjavnsíðis
samsjón	síeyga
samskapningur	sípersónur
samskatta	síálíkna
samskatting	síálíkning
samskifta	sísemjast
samskifti	sífelagsskapur,samband
samskilningur	sísemja
samskipa	sísameina
samskipan	sífelag
samskot	sísamanlegging
samskúli	sískúli
samsnjógvað	sífrystur,kavi
samsongur	sísynging
samspæl	sífelagsskapur
