gangur	sígonga,høli,levind,ljóð
gangvirði	síprísur
gantast	síhalda gleim
gap	símunnur,møsnari
gapa	sígleiva,upplatin;gapa langt;gapa um e-t;hava gákin, munnin o.fl. opnan;koyra, lata munnin upp;opna munnin;sita, standa, o.fl. við opnum gáki, munni o.fl.
gaputur	símunnkátur
gardina	síforhang
garða	sístorma
garðabak	síveggur
garðaboð	síboðan
garðaflís	sídáli
garða framúr	sísigra
garðagangari	síneyt,ross,seyður
garðagenta	síarvingi
garðagerð	síafturbøting
garðagrót	sígrót
garðagrund	síundirlag
garðagul	sívindur
garðahald	síafturbøting
garðahola	síhola
garðalag	sítoft
garðalið	síinngongd
garðamold	símold
garðarær	síveitsluhald
garðaseyður	síveitsluhald
garðaskoðari	sívaktari
garðatorv	síbrenni
garðatorva	síflag
garðbrótari	síneyt,ross,seyður
garðfólk	sígranni
garðgangari	síneyt,ross,seyður
garðlag	sígarður,toft
garðlið	síinngongd
garðmold	símold
garðnytta	síævintýrhugtak
garðnytti	síævintýrhugtak
garðross	síross
garðsarbeiði	síarbeiði
garðsbak	síveggur
garðsendi	sígarður
garðsfólk	sígranni
garðsgrind	síinngongd
garðshola	síhola
garðshorn	sívinkul
garðskoðari	sívaktari
garðskrókur	sívinkul
garðslag	sítoft
garðslið	síinngongd
garðsstubbi	sígarður
garðstrok	sírekavætti
garður	síbrenni,bústaður,granni,mark,tún,urtagarður,vindurSamheiti:beitisgarður,borgarmúrur,brimgarður,bøgarður,dunnugarður,eingjargarður,fjørugarður,flaggarður,flóðgarður,flórgarður,forræðisgarður,frágarður,garðlag,garðsendi,garðsstubbi,gásagarður,gerðisgarður,geilargarður,grótgarður,grótkast,grótlaðing,grótvirki,hagagarður,havnargarður,heimrustargarður,helluseting,hoygarður,hvanngarður,hønugarður,høsnagarður,kirkjugarðsgarður,klingrugarður,korngarður,køstagarður,laðing,langgarður,lívdartræ,lívdargarður,lívdargirðing,lívdargróður,lunnaskjól,lunnbót,millumgarður,moldgarður,moli,múrur,neytagarður,pirur,rabarbugarður,rættargarður,sandgarður,skjólgarður,skoragarður,staðarmúrur,steinkantur,stórgarður,traðargarður,tvørgarður,upplaðing,vallgarður,verjugarður,verndargarður,viðtøkugarður,virkisgarður,virkismúli,virkismúrur,virkisveggur,víggarður,vøllgarður,vørðslugarður,øðugarðurmanshøgur garður;neytahøgur, neythøgur garður;seyðahøgur garður↔avbyrgdur,mark,randa,rimaverk,steingja,útlinja,veggur
garðutur	síójavnur,stríputur
garðyrki	síyrki
garðyrkismaður	síjarðyrkismaður
garðær	síseyður,veitsluhald
garmur	síhundur
garn	síband
garnabátur	sísjófar
garnafiskiskapur	sífiskiskapur
garnafiskur	sífiskur
garnagrovur	símatfegin
garnaknútur	síknútur
garnaleið	sífiskileið
garnamoyrur	sískíta
garnapína	sípína
garnarendi	síband
garnarúgva	síavlop
garnasild	sífiskur
garnaskip	sísjófar
garnaskjálvti	síkuldi
garnaskrambul	síljóð
garnast	síkryvja
garnatálg	sífitievni
garnatálgardrýlur	sífitievni
garnaveiða	sífiskiskapur
garnering	síútlinja
garnmørsoyra	sífitievni
garnmørur	sífitievni
garnstrangi	síband
garpalið	síherlið
garpi	síavtakafólk
garpur	síavtakafólk
gart	sílevind
garta	síbeistast
gartalabond	síband
gartalagangur	sílevind
gartali	síband
gartan	sílevind
gartera	síbeistast
garterilsi	sílevind
garva	Samheiti:alúnaviðgera við alúni(barka)blásteinabarka í blásteini;barka í, við barki, børku, handilsbarki
garvarungi	síótangi
garvillur	síófriðarligur
gass	síbrenni
gassa	sístinka
gassfløska	sífløska
gasslogi	síeldur
gasslykt	sílampa
gasslýsi	síljósglæma
gassolja	síbrenni
gassovnur	síeldur
gassskortur	sívernd
gasstangaskip	sísjófar
gastutur	símannvándur
gat	síhol
gata	síkoyrivegur,seta hol á
gataður	síholutur
gatutur	síholutur
gá	síganga
gáaleysur	sídølskur
gáaloysi	sívansketni
gággagn	síagn
gágghøvd	síbýttlingur
gágguagn	síagn
gággubátur	sísjófar
gággufingur	sífingur
gággugrús	síagn
gágguhøvd	síbýttlingur
gággukassi	síkassi
gággutrog	sítrog
gáin	síeftiransin
gák	sískríggj
gáka	símøsna,reypa,skríggja
gákan	sískríggj
gákur	símunnur
gákutur	símunnkátur
gáleysur	sídølskur
gálgagrein	sítvørtræ
gálgamatur	Samheiti:feigdarmaður,heljarmatur,ravnamatur,tarvamaturdeyðans føði, matur;□deyðin er honum vísur;hann er deyðans føði, matur, er deyðanum nær, gongur ikki av árinum;hann er deyðkomin, hálvdeyður o.fl.↔avlíva,deyðamein,deyður,doyggja,hálvdeyður,sjúkur,útmøddur
gáloysi	sívansketni
gáloysin	síbusutur,dølskur
gáloysingur	síeftirbátur
gáloysiskroppur	síeftirbátur
gáloysisliga	síóskilaliga,ósmidliga
gáloysisligur	síbusutur,tápuligur
gáloysni	sívansketni
gálv	sískelking
gálva	síhalla,skelkja
gán	sígánus
gána	síhyggja
gáningur	sísmakkur
gánus	Samheiti:gán,glanus↔hyggja
gás	sífuglur
gásabøli	sífuglaflokkur,fuglur,reiður
gásadrongur	sívaktari
gásaflokkur	sífuglaflokkur,fuglur
gásagarður	sígarður
gásagiftur	síeinsamallur,giftast
gásagongd	sírása
gásahald	sídjórahald
gásamatur	símatur
gásapar	sífuglur,par
gásarbøga	sífuglur,kvennvera
gásarepli	síepli
gásarfrælsi	sífrælsi
gásarfuglur	sífuglur
gásarhús	síbygningur
gásarístur	sífitievni
gásarknokkur	síhøvur
gásarkrov	sílikam
gásarlitur	sílittóni
gásarsmoltur	sífitievni,smelt
gásarsteggi	sífuglur,kallvera
gásarungi	sífuglur
gásaskipan	sílóg
gásasteggi	sífuglur,kallvera
gásasteggjareðr	síkallskøp
gásaterri	síterri
gásatættur	síholutur,tættur
gáta	síivamál,loynidómur
gátt	sítvørtræ
gátuføri	síloynidómur
gátuførur	sífløktur
gáva	síklókskapurSamheiti:argjaseyður,avhending,álmussa,barsilsgáva,bókagáva,brúðargáva,dópsgáva,faddurgáva,festarfæ,festargáva,føðingardagsgáva,gávubræv,gávufiskur,gávufæ,gávugóðs,gávuhvalur,gávupakki,gávuseyður,heiðursgáva,íkast,jólagáva,jólapottur,mandlugáva,morgungáva,navnagáva,navnagávuseyður,olmussa,olmussuheiðar,olmussulamb,pengagáva,peningagáva,skipaskuld,skonkur,sømdargáva,sømdarløn,sømdarpeningur,tannfæ,tanngáva,tanngávuseyður,tiltak,tinganest,veitsla,veitslugáva,vinargávagott tiltak (t.e.) stórfingin, stórtøkin gáva(tillutan)játtan,játtilsi,játting,peningajáttan,peningaveiting,veiting(arvur)arvafesti,arvafæ,arvagóðs,arvagrein,arvagull,arvajørð,arvaleivd,arvalutur,arvapartur,arvaríki,arvaskjal,arvastykki,arvland,bróðurlutur,bróðurpartur,deyðabúgv,deyðsbúgv,faðirarvur,faðirleivd,fedraarvur,móðurarvur,ættararvurfedranna arvur(arvamál)arvaviðurskifti(arvmentir)mentanararvur,siðaarvur,siðarvur,ættararvur↔fáa,geva,gevariAndheiti:tjóvagóðs
gávaður	síklókur
gávi	sígævi
gávubók	sískriv
gávubræv	sígáva
gávufiskur	sígáva,hvalur
gávufúsur	síhjálpsamur
gávufæ	sígáva
gávugóðs	sígáva
gávugrunnur	sígrunnur
gávuhvalur	sígáva,hvalur
gávulítil	sítápuligur
gávumenni	sívísmaður
gávumikil	síhjálpsamur
gávumildi	síhjálpsemi
gávumildur	síhjálpsamur
gávupakki	sígáva
gávuríkur	síklókur,úrtøkugóður
gávuseyður	sígáva,seyður
gávutur	síhjálpsamur
gedda	sífiskur
geggj	símøsn
geggja	síavtakafólk
gegl	sífongsul,munnur,skríggj
gegla	sískríggja
gegna	sígagna
gegnigur	síhóskiligur
gegniligur	síhóskiligur
gegnisligur	síhóskiligur
gegnistræ	síviður
gegnturrur	síturrur
gegnvátur	sívátur
geil	sífjørður,jarðarstykki,koyrivegur,kulla,skarð,stað,strika
geilargarður	sígarður
geilarhorn	sívinkul
geilarliða	síinngongd
geilarportur	síinngongd
geilartræ	símark
geilastrok	síleyslyntur persónur,rekavætti
geilatík	síleyslyntur persónur,munnur,slatrivætti
geilutur	sírukkutur,stríputur
geingi	sífylgd,gonga,nøgd
geip	síreyp,reypari
geipa	síhongsl,reypa
geipan	síreyp
geipari	síreypari
geiputur	síreyputur
geiraskrift	sískrift
geiraspjørr	sífiskur
geirfuglur	sífuglur
geiri	síjarðarstykki,kíli,knykil,lepi,ójavni,slintra
geirrøvil	síafturpartur
geisa	síljósglæma,loga
geisari	síeldur
geisla	síglitra,loga
geislandi	síallogandi
geislast	sískeldast
geislaviðgerð	síviðgerð
geisli	síljósglæma,strika
geisp	Samheiti:geispan,geispi↔geispa
geispa	geispa av leti, møði, svøvni o.fl.;geispa illa, langt;mýkja munnleðrið;tenja gæruskinn, rotuskinn↔geisp
geispan	sígeisp
geispi	sígeisp
geit	sírotSamheiti:angorageit,bukkur,geitafylgi,geitarbukkur,geitarlamb,geithavur,villgeit
geitafylgi	sígeit
geitahirði	sívaktari
geitarbukkur	sígeit,kallvera
geitarhorn	sídjórahorn
geitarlamb	sígeit
geitarmjólk	símjólk
geitasveinur	sívaktari
geithavur	sígeit,kallvera
geitir	sísár
geitreki	sívaktari
geituknokkur	sílúsamunkur
geitureki	síróphol,vaktari
geituskalli	sílúsamunkur
geituskøltur	síróphol
geituviður	sírot,viður
gekk	síbýttlingur,skarð
gekkagríma	sídularbúni
gekkaskortur	sídularbúni
gekkur	síbrek,býttlingur,skarð,undirhaldari
geld	sísleppast
gelda	Samheiti:snidra,stervabinda bøtur á;binda fyri;gelda til horna;seyma uppfyri;skera eistuni úr;taka manndómin av e-m(gelding)sterving↔geldingur,geldur,sleppast
geldast	sísleppast
geldblóma	sígeldingur
geldepl	síepli,geldingur
geldfuglur	sífuglur,geldingur
geldgás	sífuglur,geldingur
geldgimbur	sígeldingur,seyður
geldgjólingur	sígeldingur,seyður
geldhani	sífuglur,geldingur
geldimuddur	síknívur
gelding	sígelda
geldingsgemlingur	sígeldingur,seyður
geldingsgjólingur	sígeldingur,seyður
