eindømi	sífrídómurSamheiti:serdømi,sjaldsemi,sjáldsemi,stakføri,undantak,undantaksføri,undantøka,úrdømi,ørdømieinstakt dømi;einstakt føri;einstakt undantak;sum er einsamallur, einstakur, stak, stakur,(serhending)merkishending,merkistilburður,sersýni,staksøgaløgin hending, tilburður;óvanlig, rár, rárig, sjáldsom hending;rárt hendilsi;sjáldsamt fyribrigdi;staksøga t.e. sjáldsamur tilburður(stakferð)hendingaferð,hendingaføri↔frábrigdi,hending,ógvuliga,sjáldsamur,viðhvørt
einermdur	síbrekaður
einevnisrit	sískriv
einfalda	gera einfaldari;gera greiðari;gera klárari;gera týðiligari↔greiðurAndheiti:dreiva
einfaldliga	síjúst
einfaldur	síeinsamallur,einsljóðandi,greiður,tápuligur
einfalt	síjúst
einfeldi	síbýttisskapur,góðtrúni
einfeldni	síbýttisskapur,góðtrúni
einføttur	síbrekaður
eingil	síævintýrhugtak
eingilskdansur	sídansur
eingin	síeinki
eingingerð	síletingi
eingjargarður	sígarður,mark
eingjarliða	síinngongd
einglaandlit	síandlit
einglabarn	síhampafólk
einglabrá	síyndi
eingonga	sígonga,kríggj
eingongdur	síeinsamallur
einhandil	sísølubúð
einhenda	sílyfta,tveita
einhentur	síbrekaður
einhús	síbygningur
einhvør	sínakar
einhvørsvegna	síonkursvegna
einhyrningur	síseyður,ævintýrhugtak
eini	sísemja,umleið
einiberviður	síviður
einibúgvi	síeinbúgvi
einihandil	sísølubúð
einingis	síeinsamallur
einirættur	sírættindi
einisúla	síviður
einitræ	síviður
einkabarn	síyndisbarn
einkadóttir	síyndisbarn
einkar-	síyndisbarn
einkarættindi	sírættindi
einkarættur	sírættindi
einkasonur	síyndisbarn
einkasøla	sísølubúð
einkavinur	sívinur
einkenniligur	síóvanligur
einki	Samheiti:nullals, púra, púrt einki;einki farvegis;einki petti;hvørki eitt ella annað;hvørki lítið ella stórt, lítt ella stórt, stórt ella lítið;hvørki rusk ella busk;ikki at blinda eygað við;ikki egi;ikki ein dropi, vetamoli o.fl.;ikki ein smitt, ikki smittin;ikki ein soytil, ikki soytilin;ikki eitt;ikki eitt einasta, livandi, livandi kykt;ikki eitt grett, petti, vet, vetasindur o. fl.;ikki (fáa) inn í síggjandi eygað, undir eygnalokið;ikki (fáa) upp í hundsmola, hundsmúla;ikki Guds náð;ikki hitt, tað minsta sindrið, sindur, vet, vetið;ikki hundsmoli av...;ikki inn í eygað;ikki petti, nakað;ikki so mikið sum, ikki tað sum blindar eygað, kann blinda eygað;ikki so mikið sum tú kundi væta eygað við;ikki tað sum eitur, er;ikki um hundsgron, tvøran fingurin av...;ikki undir naglin;ikki veturbland;slættis einki;□tað blindar ikki manseygað;tað er forbrendari, minni, verri enn so;tað er ikki so frægt;tað er so eiðasørt(eingin)hvørgin,onginals, púra eingin;eingin ein;eingin, ikki ein livandi kyka, sál, vera;einki, ikki eitt livandi kykt, menniskja;einki livandi;hvørgin, hvørkið (av teimum), (teirra);hvørki annar ella annar, annað ella hitt;hvørki ein ella annar, eitt ella annað;ikki ein;ikki ein kjaftur, kleyv;ikki ein kykur kjaftur;ikki ein (tann) einasti;ikki eitt kúbein;ikki eitt mannkykt, mannkyn, manskykt, manskyn;ikki manntal;ikki nakar;ikki seyðabein, seyðakleyv í haganum;slættis eingin;□har var gestaleyst, fólkaoyðið, manntómt o.fl.;har var hvørki mús ella kattur inni↔fólkaoyðin,innanopin,lítið,sørur,uppfiskaður
einkisleiki	sítómleiki
einkisligur	síbíligur,smáur
einkisverdur	síbíligur
einkisvirða	síspotta
einkja	síkvinna
einkjueftirløn	sígjald
einkjupeningur	sígjald
einkjusonur	síbarn
einkjuuppihald	sígjald
einklæddur	síílatin,nakin
einkróna	sípeningur
einkultur	síeinsamallur,einsljóðandi
einkyknudýr	sídjór
einkyknuplanta	síurt
einleiki	sífelag
einleikur	sítónalag
einlemba	síseyður
einlembulamb	síseyður
einligur	síeinsamallur
einlittur	sílitaður
einljóðandi	síeinsljóðandi
einmansføri	síarbeiði
einmanskamar	síhøli
einmansleikur	síkapping,sjónleikur
einmálsorðabók	síyvirlit
einmenniligur	sísjálvur
einmenningsligur	sísjálvur
einmælt	sísamdur
einnáttaður	síaldrandi
einnevni	sínavn
einnýtisbók	sískriv
einnýtistilfar	sítilfar
ein ogein	sífáur,rása
einoygdur	síheimføðisligur,oygdur
einraddaður	síeinsljóðandi
einráðin	síófúsur,stjórna
einrúm	síhøli
einræði	sívald
einræðisharri	síóflýggjakroppur
einrættur	sírættindi
einrøða	sítos
eins	sílíkur
einsamallur	(aleinaður)á partna,ein,eina,einastur,einborin,eingongdur,einingis einsamallur,einligur,einsamur,einsleingin,einsligur,einstaddur,einstakur,einsærur,hundleysur,ómakaður,óparaður,stakur(einfaldur)einkultur,einsligur,ósamansetturfyri seg;fyri seg sjálvan;fyri sítt egið;heilt einsamallur;í einrúmi;í sjálvdrátt(r)i(bara, bert, einans, júst ein)ein av...;ein einasti;eingin uttan ein;ein í parti, einsamallur í parti;einsamallur á, í einingi;hvør fyri seg, hvør í sínum lagi, hvør sær;ikki fleiri enn ein;í einingi, einsemi(tveir einir)undir fýra eygum;uttan fylgd, fylgi(frændaleysur)barnleysur,bróðurleysur,einborin,ervingaleysur,faðirleysur,foreldraleysur,móðurleysur,pápaleysur,sonarleysur,vinaleysur,ættarleysurí vinaloysi;○sum er foreldraloysingur, faðirloysingur, móðurloysingur, faðir- og móðurloysingur;sum ongan góðan eigur(piparmoy)piparmoyggjgomul genta;ógift kona;ein sum er leys, ógift, ómakað, pipar o.fl.(piparsveinur)drongur,geldsteggi,kveistur,sveinurein sum er leysur, ógiftur, ómakaður, pipar o.fl.;gamal drongur;leysur drongur;ógiftur maður(stakur)eingongdur,fráskildur,gásagiftur,konuleysur,leysagiftur,mannleys,ógiftur,ómakaður,óparaður,skildur,sundurlisin,verleys○sum er leysur kroppur, er staklingur, stakmaður(vera einsamallur)búgva í einingi;búgva, liggja í einhúsi;búgva, vera einsamallur í húsi;einki vilja hava við onnur at gera;ganga avparta;ganga fyri seg sjálvan;ganga fyri vág og vind, fyri vind og vág;ganga sum eitt hagalamb (um geilar);halda seg (langt) (burtur) frá øðrum;ikki koma fyri fólkaeygu;ikki koma saman við øðrum;ikki vilja síggja fólk;kenna seg forfjónaðan;ongan hava at hella seg til;passa seg sjálvan;sketta, skjøtta, skoyta seg sjálvur, sær sjálvur, sær sjálvum;vera forfjónaður(vera ógiftur)fara á bonkin;fara á skálabonk;ganga sum ein stakhosa;gerast gamal dongur, gomul genta;vera eingongd(ur), ógift(ur);vera stakur, støk↔einans,einbúgvi,fáur,nakar,rása,sjálvur,tú,uttanveltaður
einsamur	síeinsamallur
einsemd	síuttanveltaður
einsemi	síuttanveltaður
einsháttaður	síeinsljóðandi,líkur
einskendur	síeinsljóðandi,líkur
einskila	síógvuliga
einskila-	sífrálíkur
einskilaður	sífrálíkur,óvanligur
einskilagóður	sífrálíkur
einskilamaður	síavtakafólk
einskildur	sísjálvur
einskæraður	síeinskærur
einskærur	Samheiti:barur,berur,blaktabarur,blaktaður,blankur,blektabarur,blektaberur,blektaður,einskæraður,ektaður,óblandaður,ófalsaður,ósvikin,púrur,reinur,skærur(reingresin)reingresjaður,reingrøsuturbarur og blektaður;berur og blektaður;einki uttan...;heilt, púra berur, reinur;nøggur og snøggur;reinur og skærur;reinur og turrur...;við ongum...;□hatta er tann beri, einskæri, rami, turri...↔blýfríur,einans,einsljóðandi,jústAndheiti:blandaður
einsleingin	síeinsamallur
einsleingis	sífjarskotin
einsleingismaður	síeinbúgvi
einsliga	sífjarskotin
einsligur	síeinsamallur,fjarskotin
einsljóðandi	sílíkurSamheiti:einljóðandi,einraddaður,einsháttaður,einskendur,eintáttaður,eintónaður,eintónandi,einvorðin,fábroyttur,fáskiftur,fátónandi,javnskapaður,javnur,langligur,ófjølbroyttur(óbroytandi)óbrigdiligur,óbroytiligur,skiftisleysur(einfaldur)einkultur,ósamansettur↔einskærur,óbroytturAndheiti:fjølbroyttur
einsmansføri	síarbeiði
einsmansgerð	sígerð
einsmanskamar	síhøli
einsmansligur	sísjálvur
einsmansrúm	síhøli
einsmansverk	síarbeiði
eins og	sílíkur
einsongur	sísangur
einstaddur	síeinsamallur,óvanligur
einstaka	síógvuliga
einstakir	sífáur
einstaklingseyðkenni	síeyðkenni
einstaklingur	sípersónur
einstakur	síeinsamallur,nakar,óvanligur
einstavilsisorð	síorð
einstøðingur	síbýttlingur
einsvegna	síonkursvegna
einsýna	síógvuliga
einsýnamaður	síavtakafólk
einsýni	síheimføðisskapur
einsýntur	síheimføðisligur
einsýnur	sífrálíkur
einsæris	sífjarskotin
einsærur	síeinsamallur
einsøla	sírættindi
einsølumaður	síkeypmaður
eintak	Samheiti:eind,stykkiav hvørjum;einstakur gripur, lutur;eitt (av fleiri)
eintal	síorðaskifti
eintáttaður	síeinsljóðandi
eintevin	síganda
eintónaður	síeinsljóðandi
eintónandi	síeinsljóðandi
eintur	sínøgdur
eintættingur	sísjónleikur
eintølin	síganda
einusinni	sífyrr
einvaldsharri	síóflýggjakroppur
einveldi	sívald
einvera	síuttanveltaður
einvíggi	síkríggj
einvísur	síófúsur
einvorðin	síeinsljóðandi,líkur
eir	sísinnalag
eira	sídáma,rusturSamheiti:líva,loyva,náða,skóna,sparaeira, líva, loyva sær;fara væl við sær sjálvum;geva e-m grið, grið og frið;lata e-n leysan;lata e-n sleppa við lívinum, tiggja grið, lív;loysa e-n undan e-m;náða e-n;skoyta e-m leti;sleppa e-m leysum;sleppa e-m undan e-m;spara kreftir, seg↔bjarga,fríur,hjálp,hjálpa,hjálpsamur,hjálpsemi,verja
eirdur	sírustur
eirdømi	sírustur
eirgingin	sírustur
eirgrønur	sílitaður
eiri	síkærleiki
eiriliga	sívandaliga,yndisliga
eiriligur	sígóðsintur
eirin	sílítillátin
eirindaleysur	síharðhjartaður
eirindaloysi	síóndskapur
eirindi	sífyrigeving
eiring	sírustur
eirisliga	sívandaliga
eisini	síafturat,á sama hátt,til dømis
eista	Samheiti:bøllingur,eistasteinur,hvítanýra,hvítnýra,hvítunýra,køplingur,nossa,steinur(skólpur)eistnaskólpur,koddi,pungur,skølpurpurra t.e. eista (og skólpur)↔kallskøp
eistasteinur	síeista
eistnameltingur	sígeldingur,seyður
eistnaskólpur	síeista
eita	sínevna
eiti	síhykl,lyfti,navn,vánamaður
eitil	sísvullur
eitlagreipa	sívánamaður
eitlaspik	síspik
eitra	blanda við eitri;geva eitur;koyra, lata eitur í↔eitran,eitrandi,eitur
eitraður	síeitrandi
