lát	sískríggj
láta	síførka,gremja seg,ljóða,lorka burtur,rista,siga,skríggja,teska
látast	sídoyggjaSamheiti:hykla,sigastgera e-t upp á kvamsvís, upp á snet;gera, láta, látast sum (um);gera, láta, spæla sær at...;lata síggja út, sýnast, tykjast sum;látast, leika, spæla at...;siga seg;síggja út sum;skáka e-n av;spæla krákudóttir(hjáputrast)hava e-t sum umbering, undanførslu o.fl.;gera e-t viðbaravís, viðberavís, viðburðarvís↔hykl,hyklari,skálkaskjól,smikra,smikrandi,smikrari,smikur,uppgjørdur
látorð	síorð
látrakyrra	sígóðveður
látralína	síband
látraljós	sílampa
látrast	símakast
látufuglur	sífuglur,lokkuboppa
látur	síhola,skellilátur
láturbjóðandi	síuppgjørdur
láturelvandi	síuppgjørdur
láturfressur	síflennibítur
láturgjógv	síkluft
láturita	sífuglur,lokkuboppa
láturkjaftur	síinngongd
láturkobbi	síkópur
láturkódnaður	sísmílast
láturkópur	síkópur
láturkyrra	sígóðveður
láturligur	síuppgjørdur
láturljós	sílampa
láturmildur	Samheiti:brosin,skjótsmírinaltíð brosandi, flennandi, grínandi, læandi, smílandi;skjótur at flenna, læa, smílast, smírast;○sum hevur lætt til láturs, smílist lættliga;□hann hevur flenningarhug, hug at flenna;hann slær alt upp í látur↔flennibítur,góðsintur,halda gleim,skellilátur,smílastAndheiti:vreiður
láturmunni	síinngongd
látursvidningur	síkópur
láturverdur	síuppgjørdur
láturverja	síkallvera,kópur,vernd
láturverji	síkallvera,kópur,vernd
leðran	síduk,illsinnisgleps
leðrari	síduk
leðring	síduk,illveður
leðringur	síduk
leður	síhúð
leðurbelti	símiðjuband
leðurfløska	sífløska
leðurhúsi	síslíðrar
leðurklingra	sínagli
leðurreim	símiðjuband
leðurrógv	sínagli
leðursekkur	síposi
leðursóli	sísóli
leðurstunga	sínagli
leðurvøra	sívøra
lega	síbústaður,fjørður,lortur,seingjarstaðurSamheiti:eysturlega,middagslega,náttarlega,útilega,útiløga,vesturlega(sjúkralega)árslega,seingjarlega,sjúkrahúslega,sjúkrahúsvist,sjúkulega,songarlega,sóttarlega,sóttarsong(afturpartslega)skallalega(rekkjubundin)rekkjulagstur,seingjarliggjandi↔hvíla,hvíld,leggja seg,liggja,seingjarstaður
legd	síhálmur,lag,rukka,spor
legg	sítúrur
leggald	sívánamaður
leggbragð	síblandast
leggingaregg	síegg
leggingarhøna	sífuglur
leggja	sínørast,sessa
leggja afturat	Samheiti:eyka,fjølga,hækka,leingja,nøra,skoyta,størka,størra,vaksa,veksa,økjabyggja afturat, omaná, uppí;eyka til, um;fjølga, hækka, nøra, vaksa, veksa, økja um;gera breiðari, longri, størri, víðari;hava aftur at (drekkanum);hava afturvið;hava saman við;hava sum ískoyti, viðbót;hava, taka við;leggja aftur at e-m;leggja saman við;nøra, seta aftrat, afturat;rokna uppí, upp í e-t;seta afturat, saman (við);skoyta í, uppí;taka afturíaftur, uppí, við;taka aftur í orðið, íaftur orðið;taka eitt (evni) uppaftur;telja uppí, við (í);økja upp í e-t↔afturat,hoyra til,ískoyti,skoyta,tilsaman(s),vøkstur
leggja av	Samheiti:hoyvenja,kasta,sleppaikki vera kálvakær;kasta burtur;kasta ungarnar;leggja av sær;leggja e-n (barn) av;leggja, taka barn av brósti;venja frá brósti;venja frá mammuni(leggjast frá)gevast at súgva;vera av mjólk t.e. ikki tørva mjólk longur(broyta sið, vana)blaka, kasta, leggja, tveita e-t frá sær;gera seg leysan av e-m;gevast við e-m;halda uppat við e-m;høla, leggja e-t burtur;leggja av at banna, drekka, roykja o.fl.;leggja á hillina;sleppa sær av við e-t;venja e-n, seg av við e-t(avvandur)grasbeittur,grasbitin,hoyvandur,sjóvandur (um síl)byrjaður, farin at eta gras, taka nál;lagdur av brósti;vandur frá;sum dugir at eta, drekka, leppa (sjálvur)↔broyta,sleppast,turvelvandi,vani
